Name,TwitchCurrentViewers,Share of Twitch,Rank,Highest Viewer Rank,Twitch24HoursPeak,AllTimePeak,Avg. Daily High,Avg. Daily Low,Date
Magic: The GatheringSave,"1,111",0.11%,#79,#2,"7,363","156,946","11,673","2,079",2024/8/7 16:10
The Elder Scrolls IV: OblivionSave,"1,087",0.11%,#80,#1,"1,539","152,667","1,071",12,2024/8/7 16:10
Fall Guys: Ultimate KnockoutSave,"1,023",0.10%,#81,#1,"41,936","698,013","36,542","3,664",2024/8/7 16:10
TerrariaSave,"1,017",0.10%,#82,#1,"2,190","177,094","4,445",434,2024/8/7 16:10
Animal Crossing (Working Title)Save,866,0.08%,#83,#2,"1,938","25,910","2,490",541,2024/8/7 16:10
Animal Crossing: New HorizonsSave,866,0.08%,#84,#1,"1,938","241,051","9,170","2,446",2024/8/7 16:10
Shin Megami Tensei V VengeanceSave,853,0.08%,#85,#57,"1,169","2,264",693,90,2024/8/7 16:11
FactorioSave,823,0.08%,#86,#6,823,"83,950","1,435",78,2024/8/7 16:11
WarframeSave,814,0.08%,#87,#1,"1,945","509,496","10,705","1,283",2024/8/7 16:11
PhasmophobiaSave,803,0.08%,#88,#1,"8,108","247,656","18,414","2,391",2024/8/7 16:11
Halo InfiniteSave,789,0.08%,#89,#1,"3,705","263,047","14,117","1,419",2024/8/7 16:11
Software and Game DevelopmentSave,773,0.08%,#90,#6,"14,844","26,022","6,307",717,2024/8/7 16:11
Stardew ValleySave,764,0.07%,#91,#4,"3,887","99,578","4,190",546,2024/8/7 16:11
South Park: The Stick of TruthSave,704,0.07%,#92,#5,"1,573","59,161",554,13,2024/8/7 16:11
The FinalsSave,686,0.07%,#93,#52,"1,084","2,872","1,258",319,2024/8/7 16:12
Project ZomboidSave,676,0.07%,#94,#4,"1,411","120,705","4,760",436,2024/8/7 16:12
Party AnimalsSave,658,0.06%,#95,#7,"8,712","107,074","8,253",435,2024/8/7 16:12
EnshroudedSave,638,0.06%,#96,#21,"4,809","17,641","1,684",141,2024/8/7 16:12
Words On StreamSave,631,0.06%,#97,#11,"1,690","13,187",954,187,2024/8/7 16:12
Cyberpunk 2077Save,621,0.06%,#98,#1,"5,849","1,116,997","7,252","1,460",2024/8/7 16:12
Fallout 4Save,598,0.06%,#99,#1,"4,419","242,564","2,240",265,2024/8/7 16:12
EVE OnlineSave,597,0.06%,#100,#10,"1,965","30,305","1,425",162,2024/8/7 16:13
Dungeons & DragonsSave,576,0.06%,#101,#1,"1,582","211,822","12,182",108,2024/8/7 16:13
Dungeons & DragonsSave,576,0.06%,#102,#5,"1,582","21,867","4,968",121,2024/8/7 16:13
Black Survival: Eternal ReturnSave,576,0.06%,#103,#10,600,"31,743","3,780",605,2024/8/7 16:13
Eternal Return: Black SurvivalSave,576,0.06%,#104,#4,600,"82,898","9,054","1,100",2024/8/7 16:13
Yu-Gi-Oh! Master DuelSave,559,0.05%,#105,#6,"1,618","45,357","6,504","1,019",2024/8/7 16:13
BomjManSave,555,0.05%,#106,#61,733,"2,788",102,6,2024/8/7 16:13
Super Mario 64Save,547,0.05%,#107,#1,"16,320","219,983","7,165",451,2024/8/7 16:13
The Sims 4Save,541,0.05%,#108,#3,"6,285","179,932","6,856",470,2024/8/7 16:14
War ThunderSave,524,0.05%,#109,#10,"2,260","55,516","2,182",315,2024/8/7 16:14
World of WarshipsSave,520,0.05%,#110,#3,"3,773","62,800","6,369",913,2024/8/7 16:14
Baldur's Gate 3Save,504,0.05%,#112,#2,"5,010","225,917","19,226","5,511",2024/8/7 16:14
Baldur's Gate IIISave,504,0.05%,#111,#3,"5,010","170,434","8,182","1,009",2024/8/7 16:14
MIR4Save,502,0.05%,#113,#6,"1,181","22,097","3,233",574,2024/8/7 16:14
Monster Hunter: WorldSave,486,0.05%,#114,#1,"1,273","170,722","6,816","1,703",2024/8/7 16:14
Hunt: ShowdownSave,464,0.05%,#115,#1,"6,139","144,654","6,447","1,106",2024/8/7 16:14
Age of Empires IISave,463,0.05%,#116,#5,"5,213","71,521","5,751",450,2024/8/7 16:15
Out of the Park Baseball 25Save,455,0.04%,#117,#76,"1,061","1,468",789,18,2024/8/7 16:15
Heroes of the StormSave,451,0.04%,#118,#2,"1,177","85,765","6,780","1,473",2024/8/7 16:15
MultiVersusSave,445,0.04%,#119,#1,"1,480","183,435","19,396","2,597",2024/8/7 16:15
For HonorSave,432,0.04%,#120,#1,483,"146,156","1,983",236,2024/8/7 16:15
Resident Evil 6 / Biohazard 6Save,430,0.04%,#121,#7,430,"14,039",471,13,2024/8/7 16:15
Tower of FantasySave,419,0.04%,#122,#46,"1,228","1,228",427,18,2024/8/7 16:15
PaliaSave,414,0.04%,#123,#30,987,"9,840","2,717",776,2024/8/7 16:15
Euro Truck Simulator 2Save,411,0.04%,#124,#3,"1,971","60,751","4,428",196,2024/8/7 16:16
Osu!Save,407,0.04%,#125,#6,"1,459","59,644","4,189",647,2024/8/7 16:16
Mortal Kombat 1Save,394,0.04%,#126,#6,"2,231","36,449","3,106",185,2024/8/7 16:16
Grim DawnSave,393,0.04%,#127,#10,393,"22,054",478,34,2024/8/7 16:16
Super Smash Bros. UltimateSave,388,0.04%,#129,#1,"5,365","270,343","14,871","1,457",2024/8/7 16:16
PUBG MobileSave,385,0.04%,#130,#1,"2,170","98,303","4,480",523,2024/8/7 16:16
Days GoneSave,380,0.04%,#131,#3,746,"132,257","1,669",174,2024/8/7 16:16
Persona 3 ReloadSave,376,0.04%,#132,#66,726,"1,991",712,65,2024/8/7 16:17
Sid Meier's Civilization VISave,373,0.04%,#133,#3,"2,269","139,558","2,451",100,2024/8/7 16:17
Resident Evil 7: BiohazardSave,369,0.04%,#134,#1,"2,528","215,561","2,648",102,2024/8/7 16:17
UndertaleSave,351,0.03%,N/A,N/A,461,"128,433","1,493",44,2024/8/7 16:17
Beat SaberSave,351,0.03%,#136,#4,597,"160,233","2,235",137,2024/8/7 16:17
Hollow KnightSave,348,0.03%,#137,#1,"5,859","176,680","3,161",203,2024/8/7 16:17
StarCraft IISave,347,0.03%,#138,#1,"2,712","140,191","12,533","2,097",2024/8/7 16:17
Farming Simulator 22Save,347,0.03%,#139,#8,"4,370","40,388","4,211",369,2024/8/7 16:17
StalcraftSave,338,0.03%,#140,#7,"1,857","43,344","5,466","1,031",2024/8/7 16:18
Yakuza 0Save,336,0.03%,#141,#6,386,"53,685","1,351",41,2024/8/7 16:18
Fallout 76Save,317,0.03%,#142,#1,876,"184,721","2,216",392,2024/8/7 16:18
Left 4 Dead 2Save,311,0.03%,#143,#1,"1,183","144,509","2,865",87,2024/8/7 16:18
Don't Starve Together BetaSave,309,0.03%,#144,#3,988,"141,602","2,076",383,2024/8/7 16:18
Lies of PSave,308,0.03%,#145,#9,"4,584","14,733","2,130",270,2024/8/7 16:18
Call of Duty Modern WarfareSave,299,0.03%,#146,#69,338,"1,299",279,14,2024/8/7 16:18
Dark Souls IIISave,297,0.03%,#147,#1,"4,448","263,386","7,800",696,2024/8/7 16:18
Dark Souls RemasteredSave,294,0.03%,#150,#24,"13,141","14,470","5,294",212,2024/8/7 16:19
Dark Souls: RemasteredSave,279,0.03%,#148,#23,"13,141","14,470","4,456",186,2024/8/7 16:19
Pacific DriveSave,294,0.03%,#149,#15,"1,840","30,932","1,218",8,2024/8/7 16:19
ValheimSave,291,0.03%,#151,#3,"1,330","201,469","7,077","1,546",2024/8/7 16:19
We who are about to DieSave,289,0.03%,#152,#45,289,330,143,37,2024/8/7 16:19
Coral IslandSave,285,0.03%,#153,#44,891,"3,994",534,32,2024/8/7 16:19
XCOM 2Save,277,0.03%,#154,#3,506,"72,244","1,015",26,2024/8/7 16:19
Resident Evil 2 / Biohazard RE:2Save,272,0.03%,#155,#2,911,"312,429","3,675",442,2024/8/7 16:19
Gartic PhoneSave,99,0.03%,#156,#1,"1,537","233,086","12,878",573,2024/8/7 16:20
eFootball 2024Save,254,0.02%,#157,#34,716,"12,315","1,175",188,2024/8/7 16:20
Guilty Gear StriveSave,251,0.02%,#158,#1,519,"178,819","5,268",430,2024/8/7 16:20
The Elder Scrolls OnlineSave,245,0.02%,#159,#3,"1,513","103,099","7,199",843,2024/8/7 16:20
Summoners War: Sky ArenaSave,368,0.02%,#160,#4,"1,516","70,951","2,884",352,2024/8/7 16:20
Raid: Shadow LegendsSave,171,0.02%,#162,#20,866,"13,168","1,454",77,2024/8/7 16:20
RAID Shadow LegendsSave,233,0.02%,#161,#19,866,"13,168","1,745",92,2024/8/7 16:20
Another Crabs TreasureSave,230,0.02%,#163,#52,304,"3,395",723,35,2024/8/7 16:20
Call of Duty: Black Ops IIISave,227,0.02%,#164,#1,563,"190,555","2,771",163,2024/8/7 16:21
Grand Theft Auto IVSave,226,0.02%,#165,#8,"5,204","31,324","1,068",15,2024/8/7 16:21
ArknightsSave,188,0.02%,#166,#10,263,"13,223","1,006",77,2024/8/7 16:21
ChangedSave,216,0.02%,#167,#20,404,"5,151",81,5,2024/8/7 16:21
Microsoft Flight SimulatorSave,212,0.02%,#168,#10,"1,464","50,015","3,016",258,2024/8/7 16:21
Mass Effect Legendary EditionSave,211,0.02%,#169,#9,289,"49,428","1,552",228,2024/8/7 16:21
Call of Duty: Black Ops IISave,208,0.02%,#170,#1,312,"194,873","1,961",43,2024/8/7 16:21
Elite: DangerousSave,204,0.02%,#171,#8,595,"26,952",835,120,2024/8/7 16:21
BrawlhallaSave,203,0.02%,#172,#2,"1,285","163,900","6,505",232,2024/8/7 16:22
Stumble Guys: Multiplayer RoyaleSave,163,0.02%,#173,#10,603,"19,369","1,320",106,2024/8/7 16:22
Hearts of Iron IVSave,199,0.02%,#174,#4,"1,312","24,169","2,170",31,2024/8/7 16:22
Like a Dragon Infinite WealthSave,199,0.02%,#175,#113,917,"1,171",376,30,2024/8/7 16:22
Forza Horizon 5Save,197,0.02%,#176,#9,"1,549","17,353","1,806",122,2024/8/7 16:22
Risk of Rain 2Save,195,0.02%,#177,#6,528,"88,060","3,407",172,2024/8/7 16:22
SubnauticaSave,189,0.02%,#178,#1,"1,632","111,403","3,176",178,2024/8/7 16:22
Super Smash Bros. MeleeSave,160,0.02%,#179,#1,"2,388","214,478","6,167",265,2024/8/7 16:22
Grand Theft Auto: San AndreasSave,184,0.02%,N/A,N/A,"3,446","21,857","2,727",67,2024/8/7 16:23
Cult of the LambSave,184,0.02%,#181,#4,948,"157,241","6,416","1,563",2024/8/7 16:23
Halo: The Master Chief CollectionSave,181,0.02%,#182,#1,987,"132,750","2,391",186,2024/8/7 16:23
RuneScapeSave,182,0.02%,#183,#1,708,"82,035","4,033",774,2024/8/7 16:23
Among UsSave,173,0.02%,#184,#1,"13,490","788,638","71,221","4,411",2024/8/7 16:23
AtlasSave,172,0.02%,#185,#1,389,"318,466","2,027",583,2024/8/7 16:23
Killer Klowns from Outer Space The GameSave,171,0.02%,#186,#67,803,"3,589",687,71,2024/8/7 16:23
NERTS OnlineSave,167,0.02%,#187,#70,167,230,118,54,2024/8/7 16:24
NERTS! OnlineSave,167,0.02%,#188,#71,167,230,52,9,2024/8/7 16:24
Backpack BattlesSave,165,0.02%,#189,#37,266,"8,198",987,74,2024/8/7 16:24
"Warhammer 40,000: DarktideSave",164,0.02%,#190,#31,164,"11,198",530,41,2024/8/7 16:24
Call of Duty: Black OpsSave,163,0.02%,#194,#8,279,"35,650",538,31,2024/8/7 16:24
The Last of Us Part ISave,163,0.02%,#191,#10,281,"48,679","2,843",159,2024/8/7 16:24
FTL: Faster Than LightSave,162,0.02%,#195,#7,260,"20,526","1,365",10,2024/8/7 16:24
It Takes TwoSave,160,0.02%,#196,#2,659,"187,549","7,774",394,2024/8/7 16:24
theHunter: Call of the WildSave,157,0.02%,#197,#99,286,"1,576",416,74,2024/8/7 16:25
theHunter: Call of the WildSave,140,0.02%,#198,#5,286,"40,760",930,27,2024/8/7 16:25
Geometry DashSave,156,0.02%,#199,#6,"1,143","91,892","1,441",66,2024/8/7 16:25
WWE 2K24Save,155,0.02%,#200,#24,"2,415","12,761","2,581",50,2024/8/7 16:25
Science & TechnologySave,199,0.02%,#201,#2,936,"210,312","4,937",838,2024/8/7 16:25
Call of Duty 2020 (working title)Save,111,0.01%,#204,#13,675,"8,642",728,110,2024/8/7 16:25
Call of Duty: Black Ops - Cold WarSave,111,0.01%,#203,#1,675,"727,991","15,128","3,228",2024/8/7 16:25
Call of Duty Black Ops Cold WarSave,153,0.01%,#202,#71,675,"2,759",621,104,2024/8/7 16:25
Team Fortress 2Save,151,0.01%,#205,#4,608,"77,653","1,372",88,2024/8/7 16:26
Chivalry IISave,41,0.01%,#207,#9,181,"28,998","1,502",25,2024/8/7 16:26
Chivalry 2Save,149,0.01%,#206,#4,181,"73,300","2,981",75,2024/8/7 16:26
V RisingSave,145,0.01%,#208,#1,238,"105,839","5,262",959,2024/8/7 16:26
Grand Theft Auto: Vice CitySave,144,0.01%,N/A,N/A,292,"161,775","1,058",5,2024/8/7 16:26
MY HERO ULTRA RUMBLESave,144,0.01%,#210,#97,690,"1,138",615,109,2024/8/7 16:26
Ghosts of TaborSave,144,0.01%,#211,#107,702,922,382,37,2024/8/7 16:26
Russian Fishing 4Save,136,0.01%,#212,#3,485,"15,630",886,89,2024/8/7 16:26
Monster Hunter RiseSave,133,0.01%,#215,#5,"1,140","109,331","6,164","1,478",2024/8/7 16:27
PalworldSave,133,0.01%,#213,#1,492,"251,812","14,480","3,859",2024/8/7 16:27
Pax DeiSave,133,0.01%,#214,#137,193,468,230,63,2024/8/7 16:27
Call of Duty: VanguardSave,97,0.01%,#216,#1,131,"316,609","10,011","1,862",2024/8/7 16:27
Call of Duty VanguardSave,131,0.01%,#217,#61,131,"3,123",226,5,2024/8/7 16:27
Hogwarts LegacySave,129,0.01%,#218,#12,690,"17,814","2,185",309,2024/8/7 16:27
Dark Souls II: Scholar of the First SinSave,128,0.01%,#219,#5,840,"38,034","2,321",63,2024/8/7 16:27
Dragon Ball: The BreakersSave,127,0.01%,#220,#20,194,"12,075",852,31,2024/8/7 16:27
SquadSave,124,0.01%,#222,#4,343,"43,983","1,466",48,2024/8/7 16:28
HadesSave,124,0.01%,#221,#6,527,"124,977","4,835",294,2024/8/7 16:28
PaladinsSave,123,0.01%,#223,#6,487,"44,984","2,002",387,2024/8/7 16:28
Final Fantasy VII Remake Part 2Save,134,0.01%,#225,#1,590,"81,402","6,153","1,478",2024/8/7 16:28
Final Fantasy VII RebirthSave,134,0.01%,#224,#2,590,"81,402","6,053","1,485",2024/8/7 16:28
Tom Clancy's The Division 2Save,117,0.01%,#226,#3,461,"144,767","1,191",288,2024/8/7 16:28
New WorldSave,116,0.01%,#228,#1,842,"969,068","19,485","6,368",2024/8/7 16:28
Madden NFL 24Save,116,0.01%,#227,#42,506,"22,250","2,945",280,2024/8/7 16:28
Resident Evil VillageSave,114,0.01%,#229,#1,678,"645,329","8,040","1,491",2024/8/7 16:29
ContractVilleSave,113,0.01%,#230,#40,113,"6,561","1,139",5,2024/8/7 16:29
FINAL FANTASY VIISave,111,0.01%,#232,#1,556,"140,720","1,915",62,2024/8/7 16:29
BalatroSave,111,0.01%,#231,#6,"1,821","56,763","4,054",31,2024/8/7 16:29
Vampire: The Masquerade - BloodhuntSave,110,0.01%,#233,#2,173,"182,689","2,970",346,2024/8/7 16:29
AgrouSave,109,0.01%,#234,#19,109,"16,292",268,16,2024/8/7 16:29
Nine SolsSave,108,0.01%,#235,#23,"3,126","18,396","3,584",199,2024/8/7 16:29
Kaku Ancient SealSave,106,0.01%,#237,#46,112,"3,264",416,9,2024/8/7 16:29
Granblue Fantasy Versus RisingSave,106,0.01%,#236,#7,337,"64,908","2,782",14,2024/8/7 16:29
Mount & Blade II: BannerlordSave,105,0.01%,#239,#1,"3,170","228,990","4,176",410,2024/8/7 16:30
Horizon Forbidden WestSave,105,0.01%,#238,#3,435,"200,661","5,284",900,2024/8/7 16:30
Battlefield (2021)Save,113,0.01%,#240,#9,"3,119","30,498","1,605",184,2024/8/7 16:30
Battlefield 6Save,113,0.01%,#241,#10,"3,119","30,498","1,600",183,2024/8/7 16:30
Battlefield 2042Save,104,0.01%,#242,#1,"3,119","341,694","4,678",513,2024/8/7 16:30
Deep Rock GalacticSave,103,0.01%,#244,#7,589,"33,031","1,072",63,2024/8/7 16:30
Dave the DiverSave,78,0.01%,#243,#42,483,"2,988",693,47,2024/8/7 16:30
Bloons TD 6Save,102,0.01%,#247,#1,551,"95,310","5,275",107,2024/8/7 16:30
Remnant IISave,102,0.01%,#245,#21,"3,598","101,726","4,334",845,2024/8/7 16:31
MechabellumSave,102,0.01%,#246,#47,"3,020","7,974","2,219",40,2024/8/7 16:31
Little Nightmares IISave,101,0.01%,#248,#4,208,"54,071","1,427",40,2024/8/7 16:31
Final Fantasy VSave,100,0.01%,#252,#8,216,"8,418",226,4,2024/8/7 16:31
SCUMSave,100,0.01%,#250,#2,667,"168,856","1,733",199,2024/8/7 16:31
Darkest Dungeon 2Save,105,0.01%,#249,#17,397,"14,560",830,13,2024/8/7 16:31
Darkest Dungeon IISave,100,0.01%,#251,#29,397,"87,785","2,725",315,2024/8/7 16:31
Umamusume: Pretty DerbySave,65,0.01%,#253,#4,95,"73,744","2,090",263,2024/8/7 16:31
Uma Musume Pretty DerbySave,65,0.01%,#254,#35,95,"10,189",315,2,2024/8/7 16:32
Ghost of Tsushima: Director's CutSave,93,0.01%,#255,#27,"10,360","11,925","1,493",22,2024/8/7 16:32
Banishers Ghosts of New EdenSave,93,0.01%,#256,#173,102,220,115,4,2024/8/7 16:32
Rogue CompanySave,90,0.01%,#257,#6,144,"77,884","3,597",476,2024/8/7 16:32
Doom EternalSave,87,0.01%,#258,#2,638,"137,082","2,706",248,2024/8/7 16:32
Fallout: New VegasSave,85,0.01%,N/A,N/A,480,"36,689","1,489",68,2024/8/7 16:32
StarfieldSave,85,0.01%,#261,#15,503,"85,152",971,85,2024/8/7 16:32
BodycamSave,85,0.01%,#260,#55,685,"21,664","1,319",19,2024/8/7 16:32
FlirtSave,84,0.01%,#262,#69,84,172,34,12,2024/8/7 16:33
SnowRunnerSave,84,0.01%,#263,#12,453,"50,192","1,433",108,2024/8/7 16:33
InscryptionSave,83,0.01%,#264,#4,142,"87,071","2,541",113,2024/8/7 16:33
Vampire TherapistSave,82,0.01%,#265,#142,104,752,236,9,2024/8/7 16:33
The Crew MotorfestSave,81,0.01%,#266,#121,270,"1,170",301,46,2024/8/7 16:33
Nobody Wants to DieSave,81,0.01%,#267,#23,768,"12,442","2,958",32,2024/8/7 16:33
GroundedSave,80,0.01%,#268,#10,403,"90,772","2,824",246,2024/8/7 16:33
Five Nights at Freddy's: Security BreachSave,80,0.01%,#270,#3,414,"123,421","3,738",89,2024/8/7 16:34
Total War: WARHAMMER IIISave,80,0.01%,#271,#8,"2,094","47,562","3,006",345,2024/8/7 16:34
Lords and VilleinsSave,80,0.01%,#269,#254,80,94,36,32,2024/8/7 16:34
PANICORESave,79,0.01%,#272,#25,591,"7,804","1,302",20,2024/8/7 16:34
