Name,TwitchCurrentViewers,Share of Twitch,Rank,Highest Viewer Rank,Twitch24HoursPeak,AllTimePeak,Avg. Daily High,Avg. Daily Low,Date
Summoners War: Sky ArenaSave,87,0.01%,#325,#4,"1,618","70,951","2,885",352,2024-08-09 12:45
Mortal Kombat 1Save,830,0.06%,#108,#6,"1,446","36,449","3,108",184,2024-08-09 12:45
StarCraft IISave,734,0.05%,#125,#1,"2,995","140,191","12,529","2,096",2024-08-09 12:45
The FinalsSave,660,0.05%,#134,#52,926,"2,872","1,257",311,2024-08-09 12:45
Halo InfiniteSave,836,0.06%,#107,#1,"3,998","263,047","14,103","1,417",2024-08-09 12:45
Hollow KnightSave,782,0.06%,#115,#1,"1,666","176,680","3,160",203,2024-08-09 12:46
Animal Crossing (Working Title)Save,844,0.06%,#105,#2,"2,469","25,910","2,493",541,2024-08-09 12:46
Animal Crossing: New HorizonsSave,844,0.06%,#106,#1,"2,469","241,051","9,165","2,445",2024-08-09 12:46
Naraka: BladepointSave,989,0.07%,#95,#5,"3,808","97,946","4,900",580,2024-08-09 12:46
PUBG MobileSave,291,0.02%,#186,#1,"2,372","98,303","4,480",523,2024-08-09 12:46
Call of Duty: VanguardSave,85,0.01%,#329,#1,888,"316,609","9,998","1,859",2024-08-09 12:46
Call of Duty VanguardSave,85,0.01%,#327,#61,888,"3,123",248,2,2024-08-09 12:46
MIR4Save,939,0.07%,#98,#6,"1,391","22,097","3,231",573,2024-08-09 12:47
Halo: The Master Chief CollectionSave,877,0.06%,#103,#1,"1,151","132,750","2,391",186,2024-08-09 12:47
Cyberpunk 2077Save,711,0.05%,#128,#1,"2,168","1,116,997","7,251","1,459",2024-08-09 12:47
God of WarSave,489,0.03%,#149,#1,926,"282,798","6,021",717,2024-08-09 12:47
No Man's SkySave,"2,111",0.15%,#69,#2,"2,691","208,381","2,218",277,2024-08-09 12:47
Sekiro: Shadows Die TwiceSave,794,0.06%,#111,#1,"1,596","279,744","6,735",667,2024-08-09 12:47
Car For Sale Simulator 2023Save,24,0.00%,#494,#19,775,"16,949",535,1,2024-08-09 12:47
Geometry DashSave,437,0.03%,#156,#6,771,"91,892","1,441",66,2024-08-09 12:48
BomjManSave,759,0.05%,#121,#61,759,"2,788",109,14,2024-08-09 12:48
The Elder Scrolls OnlineSave,619,0.04%,#138,#3,"1,059","103,099","7,196",843,2024-08-09 12:48
Call of Duty 2020 (working title)Save,745,0.05%,#123,#13,"1,080","8,642",730,109,2024-08-09 12:48
Call of Duty: Black Ops - Cold WarSave,745,0.05%,#122,#1,"1,080","727,991","15,115","3,225",2024-08-09 12:48
Call of Duty Black Ops Cold WarSave,745,0.05%,#124,#71,"1,080","2,759",646,102,2024-08-09 12:48
Dark Souls RemasteredSave,793,0.06%,#112,#21,"13,178","15,349","6,034",216,2024-08-09 12:48
Dark Souls: RemasteredSave,793,0.06%,#113,#20,"13,178","15,349","5,099",189,2024-08-09 12:49
MultiVersusSave,626,0.04%,#136,#1,"1,114","183,435","19,292","2,583",2024-08-09 12:49
AtlasSave,688,0.05%,#130,#1,"1,174","318,466","2,027",582,2024-08-09 12:49
THE GAME OF LIFE 2Save,771,0.05%,#119,#5,"4,501","88,173","1,811",3,2024-08-09 12:49
Pumping Simulator 2Save,"1,692",0.12%,#77,#50,"1,692","4,593",177,5,2024-08-09 12:49
Lies of PSave,589,0.04%,#141,#9,886,"14,733","2,128",268,2024-08-09 12:49
PalworldSave,495,0.04%,#148,#1,670,"251,812","14,412","3,840",2024-08-09 12:50
ValheimSave,661,0.05%,#133,#3,"4,486","201,469","7,075","1,544",2024-08-09 12:50
Out of the Park Baseball 25Save,609,0.04%,#140,#76,959,"1,468",796,12,2024-08-09 12:50
It Takes TwoSave,504,0.04%,#147,#2,858,"187,549","7,766",394,2024-08-09 12:50
Fitness & HealthSave,30,0.00%,#471,#6,"2,417","104,913","3,711",99,2024-08-09 12:50
Tower of FantasySave,360,0.03%,#170,#46,735,"1,228",438,21,2024-08-09 12:50
Forza Horizon 5Save,333,0.02%,#175,#9,"1,057","17,353","1,805",122,2024-08-09 12:50
Heroes of the StormSave,643,0.05%,#135,#2,"1,343","85,765","6,779","1,473",2024-08-09 12:51
EnshroudedSave,488,0.03%,#150,#21,"1,475","17,641","1,726",145,2024-08-09 12:51
Osu!Save,714,0.05%,#127,#6,"1,779","59,644","4,190",647,2024-08-09 12:51
TerrariaSave,303,0.02%,#184,#1,"1,006","177,094","4,445",434,2024-08-09 12:51
ARK Survival AscendedSave,574,0.04%,#143,#5,"1,897","41,866","6,828",575,2024-08-09 12:51
PaliaSave,387,0.03%,#166,#30,"1,051","9,840","2,702",766,2024-08-09 12:51
Team Fortress 2Save,398,0.03%,#164,#4,745,"77,653","1,372",88,2024-08-09 12:51
Call of Duty: Black Ops IIISave,668,0.05%,#132,#1,849,"190,555","2,771",163,2024-08-09 12:52
Grocery Store SimulatorSave,404,0.03%,#163,#33,"6,373","7,150",787,3,2024-08-09 12:52
WWE 2K24Save,414,0.03%,#160,#24,"1,618","12,761","2,584",50,2024-08-09 12:52
Fallout 76Save,443,0.03%,#153,#1,"1,249","184,721","2,217",392,2024-08-09 12:52
MY HERO ULTRA RUMBLESave,464,0.03%,#151,#97,622,"1,138",636,110,2024-08-09 12:52
Farming Simulator 22Save,206,0.01%,#228,#8,"1,995","40,388","4,214",368,2024-08-09 12:52
Euro Truck Simulator 2Save,407,0.03%,#162,#3,"2,191","60,751","4,428",196,2024-08-09 12:52
For HonorSave,423,0.03%,#159,#1,"1,757","146,156","1,983",236,2024-08-09 12:53
Dark Souls IIISave,458,0.03%,#152,#1,"2,408","263,386","7,799",696,2024-08-09 12:53
Don't Starve Together BetaSave,622,0.04%,#137,#3,"1,094","141,602","2,076",382,2024-08-09 12:53
Dark Souls II: Scholar of the First SinSave,430,0.03%,#158,#5,"1,273","38,034","2,320",63,2024-08-09 12:53
Sons of the ForestSave,524,0.04%,#144,#4,524,"85,552","5,169",237,2024-08-09 12:53
Another Crabs TreasureSave,283,0.02%,#192,#52,447,"3,395",717,32,2024-08-09 12:53
Sid Meier's Civilization VISave,261,0.02%,#204,#3,754,"139,558","2,451",100,2024-08-09 12:53
Among UsSave,670,0.05%,#131,#1,"44,485","788,638","71,220","4,407",2024-08-09 12:54
Assetto CorsaSave,112,0.01%,#292,#3,"3,039","76,310","1,070",33,2024-08-09 12:54
A Way OutSave,431,0.03%,#157,#1,"1,662","225,932","1,842",63,2024-08-09 12:54
The Last of Us Part ISave,252,0.02%,#206,#10,"2,635","48,679","2,845",158,2024-08-09 12:54
Super Mario Maker 2Save,522,0.04%,#145,#1,"2,212","255,795","8,469","1,089",2024-08-09 12:54
RuneScapeSave,265,0.02%,#199,#1,494,"82,035","4,032",774,2024-08-09 12:54
Slay the SpireSave,951,0.07%,#97,#5,"2,411","114,076","4,597",286,2024-08-09 12:54
Persona 3 ReloadSave,316,0.02%,#179,#66,406,"1,991",709,62,2024-08-09 12:55
Five Nights at Freddy's: Security BreachSave,284,0.02%,#191,#3,536,"123,421","3,733",89,2024-08-09 12:55
EVE OnlineSave,237,0.02%,#210,#10,"1,131","30,305","1,425",162,2024-08-09 12:55
Super Smash Bros. MeleeSave,347,0.02%,#173,#1,"3,215","214,478","6,166",265,2024-08-09 12:55
Dead Space 2Save,76,0.01%,#341,#6,395,"36,280",479,3,2024-08-09 12:55
SubnauticaSave,364,0.03%,#169,#1,"2,616","111,403","3,178",177,2024-08-09 12:55
Final Fantasy VII Remake Part 2Save,367,0.03%,#168,#1,409,"81,402","6,131","1,472",2024-08-09 12:55
Final Fantasy VII RebirthSave,367,0.03%,#167,#2,409,"81,402","6,033","1,480",2024-08-09 12:56
Words On StreamSave,314,0.02%,#181,#11,"1,367","13,187",954,187,2024-08-09 12:56
SCUMSave,243,0.02%,#209,#2,640,"168,856","1,733",199,2024-08-09 12:56
Monster Hunter RiseSave,256,0.02%,#205,#5,435,"109,331","6,154","1,475",2024-08-09 12:56
Microsoft Flight SimulatorSave,212,0.02%,#223,#10,"1,340","50,015","3,015",257,2024-08-09 12:56
"Warhammer 40,000: DarktideSave",282,0.02%,#193,#31,350,"11,198",529,41,2024-08-09 12:56
Science & TechnologySave,299,0.02%,#185,#2,"1,035","210,312","4,935",838,2024-08-09 12:57
Sid Meier's Civilization VSave,351,0.02%,#172,#5,396,"45,821",831,21,2024-08-09 12:57
Deep Rock GalacticSave,333,0.02%,#174,#7,473,"33,031","1,072",63,2024-08-09 12:57
Madden NFL 24Save,389,0.03%,#165,#42,550,"22,250","2,915",276,2024-08-09 12:57
Killer Klowns from Outer Space The GameSave,315,0.02%,#180,#67,686,"3,589",707,71,2024-08-09 12:57
Yakuza 0Save,440,0.03%,#154,#6,440,"53,685","1,351",41,2024-08-09 12:57
Life is Feudal: MMOSave,321,0.02%,#177,#11,568,"5,664",499,50,2024-08-09 12:57
Disney Dreamlight ValleySave,268,0.02%,#197,#69,825,"2,905",692,82,2024-08-09 12:58
Total War: WARHAMMER IIISave,325,0.02%,#176,#8,856,"47,562","3,006",345,2024-08-09 12:58
Assassin's Creed OdysseySave,110,0.01%,#295,#2,455,"180,815","1,578",187,2024-08-09 12:58
StalcraftSave,270,0.02%,#196,#7,"1,047","43,344","5,421","1,019",2024-08-09 12:58
Hogwarts LegacySave,247,0.02%,#207,#12,587,"17,814","2,181",308,2024-08-09 12:58
Black Survival: Eternal ReturnSave,281,0.02%,#194,#10,432,"31,743","3,769",602,2024-08-09 12:58
Eternal Return: Black SurvivalSave,281,0.02%,#195,#4,432,"82,898","9,039","1,098",2024-08-09 12:58
Gartic PhoneSave,414,0.03%,#161,#1,"1,127","233,086","12,872",572,2024-08-09 12:59
Guilty Gear StriveSave,159,0.01%,#249,#1,419,"178,819","5,263",429,2024-08-09 12:59
Borderlands 3Save,234,0.02%,#211,#1,325,"205,794","2,370",429,2024-08-09 12:59
Garry's ModSave,201,0.01%,#233,#3,"4,054","98,120","5,553",44,2024-08-09 12:59
Hearts of Iron IVSave,220,0.02%,#214,#4,"1,385","24,169","2,171",31,2024-08-09 12:59
We who are about to DieSave,289,0.02%,#188,#45,289,330,143,37,2024-08-09 12:59
eFootball 2024Save,291,0.02%,#187,#34,"1,084","12,315","1,182",187,2024-08-09 13:00
Murky DiversSave,221,0.02%,#213,#8,"4,488","35,229","4,262",4,2024-08-09 13:00
The Elder Scrolls V: SkyrimSave,217,0.02%,#217,#1,912,"179,380","3,956",341,2024-08-09 13:00
New WorldSave,245,0.02%,#208,#1,607,"969,068","19,459","6,359",2024-08-09 13:00
Omega StrikersSave,196,0.01%,#234,#59,326,"2,600",257,25,2024-08-09 13:00
Clone HeroSave,320,0.02%,#178,#7,"1,509","33,490",951,82,2024-08-09 13:00
Star Wars Jedi: SurvivorSave,207,0.01%,#226,#1,363,"234,643","5,413","1,027",2024-08-09 13:00
Call of Duty Modern WarfareSave,262,0.02%,#202,#69,403,"1,299",283,14,2024-08-09 13:01
F1 24Save,266,0.02%,#198,#35,"5,123","10,647","4,444",43,2024-08-09 13:01
Content WarningSave,261,0.02%,#203,#12,541,"30,345","2,815",55,2024-08-09 13:01
Party AnimalsSave,"1,193",0.08%,#91,#7,"1,193","107,074","8,229",432,2024-08-09 13:01
Horizon Forbidden WestSave,71,0.01%,#348,#3,442,"200,661","5,256",894,2024-08-09 13:01
Final Fantasy VSave,128,0.01%,#281,#8,352,"8,418",226,4,2024-08-09 13:01
Batman: Arkham KnightSave,147,0.01%,#261,#7,273,"24,143",450,16,2024-08-09 13:02
My Summer CarSave,193,0.01%,#235,#7,441,"33,869","1,740",46,2024-08-09 13:02
Elite: DangerousSave,210,0.01%,#224,#8,"1,115","26,952",835,120,2024-08-09 13:02
Tom Clancy's The Division 2Save,132,0.01%,#277,#3,620,"144,767","1,190",288,2024-08-09 13:02
CupheadSave,148,0.01%,#260,#2,735,"172,429","3,302",124,2024-08-09 13:02
Ghosts of TaborSave,206,0.01%,#227,#107,442,922,387,37,2024-08-09 13:02
The IsleSave,128,0.01%,#282,#3,986,"102,597","1,451",43,2024-08-09 13:02
Call of Duty: Modern Warfare 3Save,219,0.02%,#216,#7,266,"445,474",751,9,2024-08-09 13:03
Grand Theft Auto IVSave,160,0.01%,#248,#8,"1,704","31,324","1,068",15,2024-08-09 13:03
Coral IslandSave,171,0.01%,#244,#44,754,"3,994",549,32,2024-08-09 13:03
Persona 5: The RoyalSave,213,0.02%,#221,#13,280,"3,070",638,65,2024-08-09 13:03
Persona 5 RoyalSave,213,0.02%,#222,#12,280,"16,936","1,153",135,2024-08-09 13:03
Railroads Online!Save,201,0.01%,#232,#60,201,"2,085",95,5,2024-08-09 13:03
GroundedSave,172,0.01%,#243,#10,330,"90,772","2,822",246,2024-08-09 13:03
Dave the DiverSave,207,0.01%,#225,#42,304,"2,988",687,46,2024-08-09 13:04
Escape the BackroomsSave,173,0.01%,#239,#27,292,"10,375",967,19,2024-08-09 13:04
Still Wakes the DeepSave,188,0.01%,#236,#29,"10,136","10,136","3,844",48,2024-08-09 13:04
South Park: The Fractured But WholeSave,21,0.00%,#511,#1,214,"154,144",924,45,2024-08-09 13:04
Mass Effect Legendary EditionSave,146,0.01%,#264,#9,308,"49,428","1,550",228,2024-08-09 13:04
SquadSave,227,0.02%,#212,#4,253,"43,983","1,466",48,2024-08-09 13:04
Darkest Dungeon 2Save,205,0.01%,#229,#17,427,"14,560",829,12,2024-08-09 13:04
Darkest Dungeon IISave,205,0.01%,#230,#29,427,"87,785","2,718",314,2024-08-09 13:05
SAND LANDSave,170,0.01%,#245,#133,206,274,77,2,2024-08-09 13:05
Grand Theft Auto: San AndreasSave,154,0.01%,N/A,N/A,"2,424","21,857","2,728",67,2024-08-09 13:05
Knight OnlineSave,92,0.01%,#318,#8,"2,133","24,464","2,561",163,2024-08-09 13:05
The King of Fighters XVSave,216,0.02%,#219,#13,216,"30,273","2,911",559,2024-08-09 13:05
HadesSave,306,0.02%,#183,#6,"2,458","124,977","4,833",294,2024-08-09 13:05
Dead IslandSave,216,0.02%,#218,#9,216,"14,292",120,3,2024-08-09 13:06
SnowRunnerSave,140,0.01%,#269,#12,314,"50,192","1,432",108,2024-08-09 13:06
Resident Evil VillageSave,214,0.02%,#220,#1,621,"645,329","8,032","1,489",2024-08-09 13:06
Mario Party SuperstarsSave,132,0.01%,#278,#4,"3,338","58,429","3,889",4,2024-08-09 13:06
Cult of the LambSave,154,0.01%,#259,#4,564,"157,241","6,403","1,559",2024-08-09 13:06
DishonoredSave,161,0.01%,#246,#1,451,"128,105",616,5,2024-08-09 13:06
PaladinsSave,263,0.02%,#201,#6,304,"44,984","2,001",387,2024-08-09 13:07
The Witcher 3: Wild HuntSave,799,0.06%,#109,#4,"1,843","87,269","4,432",269,2024-08-09 13:07
Call of Duty: Black OpsSave,154,0.01%,#258,#8,213,"35,650",537,31,2024-08-09 13:07
BalatroSave,143,0.01%,#265,#6,421,"56,763","4,032",30,2024-08-09 13:07
Star Wars: The Old RepublicSave,141,0.01%,#268,#6,270,"54,484",610,81,2024-08-09 13:07
House Flipper 2Save,10,0.00%,#636,#58,"1,179","3,727",501,5,2024-08-09 13:07
Risk of Rain 2Save,97,0.01%,#315,#6,"1,328","88,060","3,406",171,2024-08-09 13:08
Backpack BattlesSave,158,0.01%,#251,#37,175,"8,198",975,71,2024-08-09 13:08
PGA TOUR 2K23Save,147,0.01%,#262,#84,"1,092","1,504",464,17,2024-08-09 13:08
theHunter: Call of the WildSave,92,0.01%,#319,#99,248,"1,576",413,71,2024-08-09 13:08
theHunter: Call of the WildSave,92,0.01%,#317,#5,248,"40,760",930,26,2024-08-09 13:08
Chivalry IISave,137,0.01%,#273,#9,186,"28,998","1,498",25,2024-08-09 13:08
Chivalry 2Save,137,0.01%,#274,#4,186,"73,300","2,974",75,2024-08-09 13:08
