Name,TwitchCurrentViewers,Share of Twitch,Rank,Highest Viewer Rank,Twitch24HoursPeak,AllTimePeak,Avg. Daily High,Avg. Daily Low,Date
Once HumanSave,"7,182",0.60%,#21,#13,"13,285","25,224","18,475","8,818",2024-08-08 18:51
World of TanksSave,"6,623",0.55%,#22,#2,"18,785","126,564","15,821","1,478",2024-08-08 18:51
Street Fighter 6Save,"5,895",0.49%,#23,#1,"9,348","308,239","52,059","5,468",2024-08-08 18:51
Albion OnlineSave,"5,566",0.46%,#24,#1,"12,895","38,579","3,451","1,155",2024-08-08 18:51
Lost Ark OnlineSave,"5,427",0.45%,#25,#2,"6,979","97,583","6,702","1,265",2024-08-08 18:51
Lost ArkSave,"5,427",0.45%,#26,#1,"6,979","1,228,790","37,484","11,333",2024-08-08 18:51
Tom Clancy's Rainbow Six: SiegeSave,"4,997",0.42%,#27,#1,"67,553","387,420","37,909","5,616",2024-08-08 18:52
Genshin ImpactSave,"4,950",0.41%,#28,#1,"13,250","505,111","30,094","7,959",2024-08-08 18:52
PlayerUnknown's BattlegroundsSave,"4,751",0.39%,#29,#1,"23,288","523,868","52,760","8,744",2024-08-08 18:52
Player Unknown's BattlegroundsSave,"4,751",0.39%,#30,#1,"23,288","162,171","32,255","4,028",2024-08-08 18:52
PUBG: BATTLEGROUNDSSave,"4,751",0.39%,#31,#2,"23,288","186,750","35,283","4,523",2024-08-08 18:52
"Animals, Aquariums, and ZoosSave","4,629",0.38%,#32,#4,"7,092","26,815","5,398","2,768",2024-08-08 18:52
Maitre des FleursSave,"4,612",0.38%,#33,#12,"4,612","20,923","10,045","5,892",2024-08-08 18:52
Black DesertSave,"3,897",0.32%,#34,#1,"9,427","83,169","12,290","3,972",2024-08-08 18:53
Black Desert OnlineSave,"3,897",0.32%,#35,#2,"9,427","84,122","8,059","2,982",2024-08-08 18:53
Black Desert Online RemasteredSave,"3,897",0.32%,#36,#3,"9,427","83,169","12,347","4,535",2024-08-08 18:53
The First DescendantSave,"3,430",0.29%,#37,#18,"11,780","25,849","14,027","5,475",2024-08-08 18:53
TibiaSave,"3,338",0.28%,#38,#2,"7,815","21,329","5,630","1,261",2024-08-08 18:53
DayZSave,"3,289",0.27%,#39,#1,"8,464","290,644","11,134","1,787",2024-08-08 18:53
7 Days to DieSave,"3,041",0.25%,#40,#2,"16,034","83,785","3,793",603,2024-08-08 18:53
Hunt: ShowdownSave,"2,729",0.23%,#41,#1,"5,653","144,654","6,448","1,107",2024-08-08 18:53
Echoes of the Plum GroveSave,"2,710",0.23%,#42,#42,"2,710","2,710",301,43,2024-08-08 18:54
DungeonborneSave,"2,565",0.21%,#43,#5,"6,065","31,393","15,559","4,716",2024-08-08 18:54
Magic: The GatheringSave,"2,432",0.20%,#44,#2,"6,778","156,946","11,671","2,079",2024-08-08 18:54
Grand Theft Auto: San AndreasSave,"2,424",0.20%,N/A,N/A,"3,061","21,857","2,728",67,2024-08-08 18:54
RustSave,"2,395",0.20%,#46,#1,"20,722","1,357,012","41,198","6,533",2024-08-08 18:54
FINAL FANTASY XIV: A Realm RebornSave,"2,386",0.20%,#47,#2,"14,035","106,595","11,228","2,972",2024-08-08 18:54
FINAL FANTASY XIV OnlineSave,"2,386",0.20%,#48,#2,"14,035","215,728","11,576","2,395",2024-08-08 18:54
VRChatSave,"2,318",0.19%,#49,#2,"20,897","127,940","9,757","1,173",2024-08-08 18:55
Old School RuneScapeSave,"2,050",0.17%,#50,#3,"7,226","101,391","12,870","3,188",2024-08-08 18:55
Heroes of Might & Magic III - HD EditionSave,"2,030",0.17%,#51,#6,"4,155","27,148","4,535",381,2024-08-08 18:55
Mount & Blade II: BannerlordSave,"1,932",0.16%,#52,#1,"3,043","228,990","4,177",410,2024-08-08 18:55
Dome KeeperSave,"1,868",0.16%,#53,#19,"1,892","38,823","1,593",843,2024-08-08 18:55
Rocket LeagueSave,"1,860",0.15%,#54,#1,"11,145","353,168","37,593","3,279",2024-08-08 18:55
MapleStorySave,"1,848",0.15%,#55,#1,"7,243","52,068","5,099",716,2024-08-08 18:55
Sea of ThievesSave,"1,819",0.15%,#56,#1,"5,546","259,071","15,179","1,932",2024-08-08 18:56
SmiteSave,"1,804",0.15%,#57,#1,"5,691","147,557","9,223","1,549",2024-08-08 18:56
Tom Clancy's XDefiantSave,"1,751",0.15%,#58,#1,"3,793","174,192","20,434","5,673",2024-08-08 18:56
Destiny 2Save,"1,543",0.13%,#59,#1,"9,715","470,716","18,643","4,362",2024-08-08 18:56
Yu-Gi-Oh! Master DuelSave,"1,513",0.13%,#60,#6,"2,434","45,357","6,498","1,018",2024-08-08 18:56
TEKKEN 8Save,"1,508",0.13%,#61,#2,"4,336","180,773","12,493","1,226",2024-08-08 18:56
Baldur's Gate 3Save,"1,471",0.12%,#62,#2,"4,903","225,917","19,166","5,490",2024-08-08 18:56
Baldur's Gate IIISave,"1,471",0.12%,#63,#3,"4,903","170,434","8,170","1,008",2024-08-08 18:56
Marvel SnapSave,"1,426",0.12%,#64,#5,"6,307","231,887","8,851","1,704",2024-08-08 18:57
Fallout 4Save,"1,332",0.11%,#65,#1,"5,037","242,564","2,242",265,2024-08-08 18:57
Helldivers 2Save,"1,326",0.11%,#66,#17,"3,025","17,058","1,870",269,2024-08-08 18:57
World of WarshipsSave,"1,278",0.11%,#67,#3,"9,079","62,800","6,371",913,2024-08-08 18:57
Software and Game DevelopmentSave,"1,221",0.10%,#68,#6,"5,596","26,022","6,306",717,2024-08-08 18:57
War ThunderSave,"1,215",0.10%,#69,#10,"2,389","55,516","2,182",316,2024-08-08 18:57
Europa Universalis IVSave,"1,182",0.10%,#71,#1,"1,182","140,898","1,785",42,2024-08-08 18:57
Call of DutySave,"1,166",0.10%,#72,#4,"5,067","16,822","1,266",263,2024-08-08 18:58
Call of Duty: Modern Warfare IISave,"1,166",0.10%,#73,#5,"5,067","33,756","5,933","1,523",2024-08-08 18:58
Call of Duty: Modern Warfare IISave,"1,166",0.10%,#73,#5,"5,067","33,756","5,933","1,523",2024-08-08 18:58
Lineage 2MSave,"1,143",0.10%,#76,#5,"2,330","5,776","2,361",865,2024-08-08 18:58
Lineage 2Save,"1,143",0.10%,#75,#6,"2,330","25,750","2,741",724,2024-08-08 18:58
NBA 2K24Save,"1,106",0.09%,#77,#15,"4,788","27,458","8,792","1,871",2024-08-08 18:58
Knight OnlineSave,"1,097",0.09%,#78,#8,"2,238","24,464","2,560",163,2024-08-08 18:58
Farming Simulator 22Save,913,0.08%,#79,#8,"4,743","40,388","4,212",369,2024-08-08 18:59
Fall Guys: Ultimate KnockoutSave,881,0.07%,#80,#1,"3,924","698,013","36,508","3,661",2024-08-08 18:59
Words On StreamSave,862,0.07%,#81,#11,"1,726","13,187",954,188,2024-08-08 18:59
Red Dead Redemption 2Save,860,0.07%,#82,#1,"10,871","364,684","9,754","1,682",2024-08-08 18:59
Sekiro: Shadows Die TwiceSave,860,0.07%,#83,#1,"1,820","279,744","6,734",667,2024-08-08 18:59
PhasmophobiaSave,850,0.07%,#84,#1,"4,789","247,656","18,404","2,389",2024-08-08 18:59
The Sims 4Save,807,0.07%,#85,#3,"4,241","179,932","6,855",470,2024-08-08 18:59
EnshroudedSave,800,0.07%,#86,#21,"3,613","17,641","1,716",146,2024-08-08 19:00
Microsoft Flight SimulatorSave,783,0.07%,#87,#10,"1,031","50,015","3,015",257,2024-08-08 19:00
Dark Souls RemasteredSave,770,0.06%,#88,#21,"15,349","15,349","5,634",216,2024-08-08 19:00
Dark Souls: RemasteredSave,770,0.06%,#89,#20,"15,349","15,349","4,763",189,2024-08-08 19:00
BomjManSave,759,0.06%,#90,#61,759,"2,788",109,14,2024-08-08 19:00
Science & TechnologySave,723,0.06%,#91,#2,"1,247","210,312","4,935",838,2024-08-08 19:00
South Park: The Stick of TruthSave,709,0.06%,#92,#5,"2,319","59,161",555,13,2024-08-08 19:00
WarframeSave,706,0.06%,#93,#1,"3,414","509,496","10,702","1,283",2024-08-08 19:00
Naraka: BladepointSave,687,0.06%,#94,#5,"3,934","97,946","4,895",580,2024-08-08 19:01
Hell Let LooseSave,672,0.06%,#95,#7,"1,173","38,605","1,297",36,2024-08-08 19:01
StormgateSave,664,0.06%,#96,#22,"2,261","11,888","5,964",588,2024-08-08 19:01
Shakes and FidgetSave,632,0.05%,#97,#1,"3,101","160,338",895,111,2024-08-08 19:01
Animal Crossing (Working Title)Save,627,0.05%,#99,#2,"1,895","25,910","2,487",541,2024-08-08 19:01
Animal Crossing: New HorizonsSave,627,0.05%,#98,#1,"1,895","241,051","9,164","2,445",2024-08-08 19:01
Monster Hunter: WorldSave,619,0.05%,#100,#1,"3,568","170,722","6,814","1,702",2024-08-08 19:01
The Witcher 3: Wild HuntSave,614,0.05%,#101,#4,"1,841","87,269","4,431",269,2024-08-08 19:02
ARK Survival AscendedSave,613,0.05%,#102,#5,"2,752","41,866","6,786",575,2024-08-08 19:02
StalcraftSave,607,0.05%,#103,#7,"1,788","43,344","5,416","1,023",2024-08-08 19:02
Osu!Save,593,0.05%,#105,#6,"4,701","59,644","4,190",647,2024-08-08 19:02
S.T.A.L.K.E.R.: Shadow of ChernobylSave,593,0.05%,N/A,N/A,593,"17,580",436,4,2024-08-08 19:02
eFootball 2024Save,582,0.05%,#106,#34,790,"12,315","1,174",190,2024-08-08 19:02
CONSCRIPTSave,564,0.05%,#107,#12,564,"28,650","4,412",48,2024-08-08 19:02
Euro Truck Simulator 2Save,550,0.05%,#108,#3,"2,049","60,751","4,427",196,2024-08-08 19:02
Tower of FantasySave,544,0.05%,#109,#46,912,"1,228",435,21,2024-08-08 19:03
Elite: DangerousSave,541,0.04%,#110,#8,"1,263","26,952",835,120,2024-08-08 19:03
MIR4Save,534,0.04%,#111,#6,"1,326","22,097","3,230",573,2024-08-08 19:03
RimWorldSave,521,0.04%,#112,#6,"5,229","44,220","4,612",378,2024-08-08 19:03
Slay the SpireSave,488,0.04%,#113,#5,"1,348","114,076","4,596",286,2024-08-08 19:03
PUBG MobileSave,484,0.04%,#114,#1,"2,106","98,303","4,479",523,2024-08-08 19:03
EVE OnlineSave,480,0.04%,#115,#10,"1,376","30,305","1,425",162,2024-08-08 19:03
StarCraft IISave,478,0.04%,#116,#1,"2,590","140,191","12,528","2,096",2024-08-08 19:04
Lethal CompanySave,477,0.04%,#117,#2,"3,908","70,420","12,705",731,2024-08-08 19:04
Age of Empires IISave,469,0.04%,#118,#5,"4,756","71,521","5,750",450,2024-08-08 19:04
No Man's SkySave,467,0.04%,#119,#2,"2,967","208,381","2,218",277,2024-08-08 19:04
Chained TogetherSave,460,0.04%,#120,#7,"7,795","59,163","20,230","1,070",2024-08-08 19:04
Coral IslandSave,447,0.04%,#121,#44,"2,966","3,994",547,33,2024-08-08 19:04
Heroes of the StormSave,443,0.04%,#122,#2,"4,578","85,765","6,779","1,473",2024-08-08 19:04
Pro Cycling Manager 2024Save,443,0.04%,#123,#40,470,"7,298",910,2,2024-08-08 19:05
Dead Space RemakeSave,438,0.04%,#124,#39,666,"5,302",755,35,2024-08-08 19:05
Resident Evil 7: BiohazardSave,430,0.04%,#125,#1,476,"215,561","2,647",102,2024-08-08 19:05
Super Mario 64Save,418,0.03%,#126,#1,"7,661","219,983","7,165",451,2024-08-08 19:05
PaliaSave,416,0.03%,#127,#30,"1,124","9,840","2,693",766,2024-08-08 19:05
Russian Fishing 4Save,401,0.03%,#128,#3,652,"15,630",886,89,2024-08-08 19:05
Cyberpunk 2077Save,400,0.03%,#129,#1,"4,812","1,116,997","7,249","1,459",2024-08-08 19:05
Summoners War: Sky ArenaSave,399,0.03%,#130,#4,"2,126","70,951","2,884",352,2024-08-08 19:05
The FinalsSave,380,0.03%,#131,#52,"1,007","2,872","1,245",313,2024-08-08 19:06
F1 24Save,367,0.03%,#132,#35,"7,748","10,647","4,351",43,2024-08-08 19:06
DragonBall Z: Dokkan BattleSave,365,0.03%,#135,#16,"1,198","12,304",813,12,2024-08-08 19:06
Battlefield VSave,365,0.03%,#133,#4,365,"133,501","2,905",269,2024-08-08 19:06
DRAGON BALL Z DOKKAN BATTLESave,365,0.03%,#134,#15,"1,198","22,310","1,275",45,2024-08-08 19:06
Dark Souls IIISave,350,0.03%,#136,#1,"3,873","263,386","7,799",696,2024-08-08 19:06
MultiVersusSave,346,0.03%,#137,#1,"1,324","183,435","19,289","2,583",2024-08-08 19:06
Stardew ValleySave,333,0.03%,#138,#4,"3,804","99,578","4,190",546,2024-08-08 19:07
Deep Rock Galactic SurvivorSave,331,0.03%,#139,#47,"1,965","3,988","1,307",13,2024-08-08 19:07
A Way OutSave,324,0.03%,#140,#1,331,"225,932","1,842",63,2024-08-08 19:07
FINAL FANTASY VIISave,322,0.03%,#141,#1,"2,447","140,720","1,915",62,2024-08-08 19:07
Project ZomboidSave,301,0.03%,#142,#4,"36,353","120,705","4,774",436,2024-08-08 19:07
PalworldSave,295,0.02%,#143,#1,624,"251,812","14,410","3,841",2024-08-08 19:07
ValheimSave,292,0.02%,#144,#3,"1,958","201,469","7,072","1,544",2024-08-08 19:07
We who are about to DieSave,289,0.02%,#145,#45,289,330,143,37,2024-08-08 19:08
Stumble Guys: Multiplayer RoyaleSave,289,0.02%,#146,#10,"1,018","19,369","1,321",107,2024-08-08 19:08
FrostpunkSave,287,0.02%,#147,#5,317,"55,666","1,137",29,2024-08-08 19:08
Don't Starve Together BetaSave,284,0.02%,#148,#3,787,"141,602","2,076",382,2024-08-08 19:08
Sid Meier's Civilization VISave,281,0.02%,#149,#3,"1,287","139,558","2,450",100,2024-08-08 19:08
Dragon Age: OriginsSave,275,0.02%,#150,#3,712,"111,146",332,6,2024-08-08 19:08
BrawlhallaSave,272,0.02%,#152,#2,"1,270","163,900","6,503",232,2024-08-08 19:08
Resident Evil VillageSave,264,0.02%,#153,#1,791,"645,329","8,031","1,489",2024-08-08 19:08
Clash RoyaleSave,261,0.02%,#155,#1,"3,291","536,953","11,440",523,2024-08-08 19:09
Football Manager 2024Save,261,0.02%,#154,#52,768,"5,198","1,450",35,2024-08-08 19:09
TerrariaSave,256,0.02%,#156,#1,"4,950","177,094","4,445",434,2024-08-08 19:09
Hollow KnightSave,255,0.02%,#157,#1,"1,122","176,680","3,160",203,2024-08-08 19:09
Kingdom Come: DeliveranceSave,251,0.02%,#158,#1,"1,324","212,870","1,929",101,2024-08-08 19:09
FactorioSave,248,0.02%,#159,#6,"1,673","83,950","1,435",78,2024-08-08 19:09
Forza Horizon 5Save,243,0.02%,#160,#9,587,"17,353","1,802",122,2024-08-08 19:09
DoomSave,240,0.02%,#161,#1,285,"164,939","1,199",41,2024-08-08 19:10
Beat SaberSave,238,0.02%,#162,#4,468,"160,233","2,234",137,2024-08-08 19:10
Halo InfiniteSave,236,0.02%,#163,#1,"3,998","263,047","14,102","1,417",2024-08-08 19:10
Fallout 76Save,234,0.02%,#164,#1,"1,526","184,721","2,216",392,2024-08-08 19:10
The Elder Scrolls OnlineSave,233,0.02%,#165,#3,"1,485","103,099","7,196",843,2024-08-08 19:10
Geometry DashSave,229,0.02%,#166,#6,"1,934","91,892","1,441",66,2024-08-08 19:10
Slice & DiceSave,220,0.02%,#167,#94,220,672,106,2,2024-08-08 19:10
Taxi Life A City Driving SimulatorSave,219,0.02%,#168,#21,422,"17,668","1,493",1,2024-08-08 19:11
Still Wakes the DeepSave,217,0.02%,#169,#29,"7,483","9,706","3,290",51,2024-08-08 19:11
Oxygen Not IncludedSave,211,0.02%,#170,#5,414,"40,652","1,165",67,2024-08-08 19:11
Little Kitty Big CitySave,203,0.02%,#171,#72,203,"1,760",363,6,2024-08-08 19:11
Cult of the LambSave,200,0.02%,#172,#4,894,"157,241","6,402","1,559",2024-08-08 19:11
Dark Souls II: Scholar of the First SinSave,196,0.02%,#173,#5,643,"38,034","2,319",63,2024-08-08 19:11
SatisfactorySave,188,0.02%,#174,#5,621,"70,818","2,778",218,2024-08-08 19:11
Guilty Gear StriveSave,180,0.01%,#175,#1,"1,317","178,819","5,263",429,2024-08-08 19:11
Killer Klowns from Outer Space The GameSave,178,0.01%,#176,#67,802,"3,589",694,72,2024-08-08 19:12
American Truck SimulatorSave,173,0.01%,#177,#6,"3,107","73,178","1,450",67,2024-08-08 19:12
XCOM 2Save,166,0.01%,#178,#3,368,"72,244","1,015",26,2024-08-08 19:12
FTL: Faster Than LightSave,163,0.01%,#179,#7,314,"20,526","1,364",10,2024-08-08 19:12
I'm on Observation Duty 4Save,163,0.01%,#180,#13,163,"28,964",577,10,2024-08-08 19:12
RuneScapeSave,158,0.01%,#182,#1,909,"82,035","4,032",774,2024-08-08 19:12
Until ThenSave,158,0.01%,#181,#67,223,"3,798",648,20,2024-08-08 19:12
Mortal Kombat 1Save,155,0.01%,#183,#6,"2,377","36,449","3,103",184,2024-08-08 19:13
Lies of PSave,154,0.01%,#184,#9,"1,225","14,733","2,126",268,2024-08-08 19:13
Forza Horizon 4Save,152,0.01%,#186,#7,152,"62,258","1,590",73,2024-08-08 19:13
Raid: Shadow LegendsSave,152,0.01%,#187,#20,529,"13,168","1,439",75,2024-08-08 19:13
RAID Shadow LegendsSave,152,0.01%,#185,#19,529,"13,168","1,716",89,2024-08-08 19:13
MY HERO ULTRA RUMBLESave,151,0.01%,#188,#97,914,"1,138",624,110,2024-08-08 19:13
SquadSave,150,0.01%,#189,#4,360,"43,983","1,466",48,2024-08-08 19:13
The Lord of the Rings OnlineSave,149,0.01%,#190,#7,267,"33,405",252,11,2024-08-08 19:14
Black Survival: Eternal ReturnSave,145,0.01%,#192,#10,563,"31,743","3,768",602,2024-08-08 19:14
Eternal Return: Black SurvivalSave,145,0.01%,#191,#4,563,"82,898","9,038","1,098",2024-08-08 19:14
Call of Duty: Black Ops IIISave,144,0.01%,#193,#1,"1,400","190,555","2,771",163,2024-08-08 19:14
Battlefield (2021)Save,143,0.01%,#195,#9,"2,589","30,498","1,609",184,2024-08-08 19:14
Battlefield 6Save,143,0.01%,#196,#10,"2,589","30,498","1,604",183,2024-08-08 19:14
Battlefield 2042Save,143,0.01%,#194,#1,"2,589","341,694","4,674",512,2024-08-08 19:14
New WorldSave,142,0.01%,#197,#1,630,"969,068","19,458","6,359",2024-08-08 19:14
Deep Rock GalacticSave,140,0.01%,#198,#7,"1,225","33,031","1,072",63,2024-08-08 19:15
SnowRunnerSave,139,0.01%,#199,#12,234,"50,192","1,432",108,2024-08-08 19:15
Team Fortress 2Save,136,0.01%,#200,#4,940,"77,653","1,372",88,2024-08-08 19:15
Gwent: The Witcher Card GameSave,135,0.01%,#201,#4,511,"46,622","2,598",279,2024-08-08 19:15
HadesSave,135,0.01%,#202,#6,471,"124,977","4,830",294,2024-08-08 19:15
Among UsSave,133,0.01%,#203,#1,"25,202","788,638","71,180","4,407",2024-08-08 19:15
SubnauticaSave,132,0.01%,#204,#1,"5,868","111,403","3,177",177,2024-08-08 19:15
Disney Dreamlight ValleySave,132,0.01%,#205,#69,882,"2,905",682,82,2024-08-08 19:16
Gartic PhoneSave,130,0.01%,#206,#1,"6,901","233,086","12,871",572,2024-08-08 19:16
God of WarSave,129,0.01%,#207,#1,676,"282,798","6,019",717,2024-08-08 19:16
ArknightsSave,127,0.01%,#208,#10,301,"13,223","1,005",77,2024-08-08 19:16
The IsleSave,126,0.01%,#209,#3,"16,952","102,597","1,451",43,2024-08-08 19:16
Goat Simulator 3Save,126,0.01%,#210,#30,126,"5,970",401,2,2024-08-08 19:16
Left 4 Dead 2Save,125,0.01%,#211,#1,"2,972","144,509","2,865",87,2024-08-08 19:16
They Are BillionsSave,125,0.01%,#213,#2,271,"95,411","3,154",236,2024-08-08 19:17
Super Smash Bros. UltimateSave,125,0.01%,#212,#1,"6,788","270,343","14,866","1,456",2024-08-08 19:17
Tom Clancy's The Division 2Save,124,0.01%,#214,#3,417,"144,767","1,189",288,2024-08-08 19:17
PANICORESave,124,0.01%,#215,#25,454,"7,804","1,275",18,2024-08-08 19:17
V RisingSave,123,0.01%,#216,#1,613,"105,839","5,252",957,2024-08-08 19:17
BanishedSave,121,0.01%,#217,#1,121,"10,358",179,8,2024-08-08 19:17
Yakuza 0Save,120,0.01%,#218,#6,408,"53,685","1,351",41,2024-08-08 19:17
Hogwarts LegacySave,118,0.01%,#220,#12,604,"17,814","2,179",308,2024-08-08 19:18
MechabellumSave,118,0.01%,#219,#47,"3,428","7,974","2,238",40,2024-08-08 19:18
For HonorSave,117,0.01%,#221,#1,560,"146,156","1,982",236,2024-08-08 19:18
Five Nights at Freddy's: Security BreachSave,117,0.01%,#222,#3,419,"123,421","3,732",89,2024-08-08 19:18
Grand Theft Auto: Vice CitySave,116,0.01%,N/A,N/A,206,"161,775","1,058",5,2024-08-08 19:18
Party AnimalsSave,116,0.01%,#223,#7,"1,042","107,074","8,229",432,2024-08-08 19:18
SCUMSave,115,0.01%,#225,#2,537,"168,856","1,733",199,2024-08-08 19:18
Nine SolsSave,112,0.01%,#226,#23,"4,738","18,396","3,600",197,2024-08-08 19:18
Dying Light 2: Stay HumanSave,111,0.01%,#227,#1,232,"397,499","4,157","1,047",2024-08-08 19:19
Final Fantasy VII Remake Part 2Save,126,0.01%,#228,#1,418,"81,402","6,131","1,472",2024-08-08 19:19
Minds Beneath UsSave,110,0.01%,#229,#45,573,"4,796","2,298",17,2024-08-08 19:19
Final Fantasy VII RebirthSave,126,0.01%,#230,#2,418,"81,402","6,033","1,480",2024-08-08 19:19
Half-Life 2Save,109,0.01%,#231,#1,140,"445,474","1,181",6,2024-08-08 19:19
AgrouSave,109,0.01%,#232,#19,109,"16,292",268,16,2024-08-08 19:19
Conqueror's BladeSave,102,0.01%,#233,#9,"1,107","42,759","2,463",216,2024-08-08 19:19
Halo: The Master Chief CollectionSave,101,0.01%,#235,#1,"1,330","132,750","2,390",186,2024-08-08 19:20
The Crew MotorfestSave,101,0.01%,#234,#121,233,"1,170",299,44,2024-08-08 19:20
Assassin's Creed OriginsSave,99,0.01%,#236,#2,99,"81,382",689,60,2024-08-08 19:20
NieR: AutomataSave,96,0.01%,#237,#1,371,"117,021","1,252",31,2024-08-08 19:20
Dragon Ball: The BreakersSave,97,0.01%,#238,#20,804,"12,075",834,31,2024-08-08 19:20
DRAGON BALL THE BREAKERSSave,96,0.01%,#239,#94,804,824,304,32,2024-08-08 19:20
Farm Together 2Save,93,0.01%,#240,#124,106,"1,334",278,3,2024-08-08 19:20
There Is No Game: Wrong dimensionSave,89,0.01%,#241,#1,89,"52,568","1,020",25,2024-08-08 19:20
Vampire: The Masquerade - BloodhuntSave,89,0.01%,#242,#2,168,"182,689","2,964",346,2024-08-08 19:21
WAKFUSave,88,0.01%,#243,#27,526,"12,553",198,13,2024-08-08 19:21
Armored Core VI: Fires of RubiconSave,86,0.01%,#244,#38,359,"148,510","2,506",678,2024-08-08 19:21
ContractVilleSave,86,0.01%,#245,#40,332,"6,561","1,119",4,2024-08-08 19:21
Counter-Strike:Half-LifeSave,116,0.01%,#247,#6,265,"32,943",415,5,2024-08-08 19:21
Counter-StrikeSave,84,0.01%,#246,#8,265,"60,822","1,042",30,2024-08-08 19:21
FlirtSave,84,0.01%,#248,#69,84,172,34,12,2024-08-08 19:21
Monster Hunter RiseSave,84,0.01%,#249,#5,299,"109,331","6,154","1,475",2024-08-08 19:21
Dead Island 2Save,83,0.01%,#250,#98,206,976,227,29,2024-08-08 19:22
AtlasSave,81,0.01%,#251,#1,631,"318,466","2,026",582,2024-08-08 19:22
theHunter: Call of the WildSave,80,0.01%,#253,#99,235,"1,576",409,72,2024-08-08 19:22
theHunter: Call of the WildSave,95,0.01%,#252,#5,235,"40,760",930,26,2024-08-08 19:22
Mortal Kombat 11Save,80,0.01%,#254,#2,126,"193,222","3,850",336,2024-08-08 19:22
Lords and VilleinsSave,80,0.01%,#255,#254,80,94,36,32,2024-08-08 19:22
Super Smash Bros. MeleeSave,78,0.01%,#256,#1,"1,343","214,478","6,165",265,2024-08-08 19:22
It Takes TwoSave,78,0.01%,#257,#2,620,"187,549","7,765",394,2024-08-08 19:23
Horizon Forbidden WestSave,77,0.01%,#258,#3,322,"200,661","5,254",894,2024-08-08 19:23
Metro ExodusSave,76,0.01%,#259,#4,76,"133,274","1,130",47,2024-08-08 19:23
Dave the DiverSave,46,0.01%,#260,#42,232,"2,988",683,46,2024-08-08 19:23
Battle BrothersSave,70,0.01%,#261,#19,419,"17,257",630,34,2024-08-08 19:23
Dark Souls IISave,74,0.01%,#262,#1,74,"159,464","2,115",69,2024-08-08 19:23
Total War: WARHAMMER IIISave,72,0.01%,#263,#8,"2,582","47,562","3,005",345,2024-08-08 19:23
Dungeons & DragonsSave,202,0.01%,#265,#1,"4,090","211,822","12,177",108,2024-08-08 19:23
Dungeons & DragonsSave,202,0.01%,#266,#5,"4,090","21,867","4,962",119,2024-08-08 19:24
KenshiSave,70,0.01%,#264,#11,125,"23,109",927,21,2024-08-08 19:24
The Elder Scrolls V: SkyrimSave,68,0.01%,#267,#1,923,"179,380","3,956",341,2024-08-08 19:24
Monster Hunter Stories 2: Wings of RuinSave,68,0.01%,#268,#7,72,"33,533",542,103,2024-08-08 19:24
Ghosts of TaborSave,68,0.01%,#269,#107,397,922,382,37,2024-08-08 19:24
Assassin's Creed OdysseySave,67,0.01%,#270,#2,151,"180,815","1,577",187,2024-08-08 19:24
