Rank,GameID,GameName,CurrentPlayers,PeakPlayers,Datetime
30,2357570,Overwatch® 2,"31,911","44,489",2024-08-09 12:01
31,2195250,EA SPORTS FC™ 24,"29,510","58,562",2024-08-09 12:01
32,436150,Governor of Poker 3,"29,212","35,269",2024-08-09 12:01
33,550,Left 4 Dead 2,"28,728","29,351",2024-08-09 12:01
34,1281930,tModLoader,"27,940","42,603",2024-08-09 12:01
35,2977660,Cats,"26,489","27,089",2024-08-09 12:01
36,2252570,Football Manager 2024,"25,898","61,901",2024-08-09 12:01
37,1222670,The Sims™ 4,"25,412","42,909",2024-08-09 12:01
38,322330,Don't Starve Together,"24,993","46,086",2024-08-09 12:01
39,394360,Hearts of Iron IV,"24,410","47,392",2024-08-09 12:01
40,105600,Terraria,"24,409","36,097",2024-08-09 12:01
41,304930,Unturned,"24,229","31,244",2024-08-09 12:01
42,1623730,Palworld,"23,679","39,524",2024-08-09 12:01
43,1599340,Lost Ark(not available in your region),"22,764","29,272",2024-08-09 12:01
44,221100,DayZ,"22,745","48,784",2024-08-09 12:01
45,1174180,Red Dead Redemption 2,"22,639","37,166",2024-08-09 12:01
46,1366800,Crosshair X,"22,083","31,628",2024-08-09 12:01
47,1449850,Yu-Gi-Oh! Master Duel,"21,940","38,041",2024-08-09 12:01
48,108600,Project Zomboid,"21,763","27,157",2024-08-09 12:01
49,582010,Monster Hunter: World,"21,211","47,154",2024-08-09 12:01
50,2016590,Dark and Darker,"19,572","24,427",2024-08-09 12:01
51,294100,RimWorld,"19,024","24,687",2024-08-09 12:01
52,346110,ARK: Survival Evolved,"18,941","34,483",2024-08-09 12:01
53,1091500,Cyberpunk 2077,"18,144","26,472",2024-08-09 12:01
54,1973530,Limbus Company,"17,762","37,979",2024-08-09 12:01
55,2344520,Diablo® IV,"17,647","27,595",2024-08-09 12:01
56,252950,Rocket League®,"17,623","27,515",2024-08-09 12:01
57,275850,No Man's Sky,"17,191","24,749",2024-08-09 12:01
58,489830,The Elder Scrolls V: Skyrim Special Edition,"17,172","22,773",2024-08-09 12:01
59,377160,Fallout 4,"17,100","24,693",2024-08-09 12:01
60,1623660,MIR4,"16,889","17,706",2024-08-09 12:01
61,4000,Garry's Mod,"16,561","32,758",2024-08-09 12:01
62,960090,Bloons TD 6,"15,601","20,334",2024-08-09 12:01
63,892970,Valheim,"15,001","26,122",2024-08-09 12:01
64,739630,Phasmophobia,"14,690","24,819",2024-08-09 12:01
65,2448970,Dungeonborne(not available in your region),"14,352","24,060",2024-08-09 12:01
66,1966720,Lethal Company,"14,282","15,241",2024-08-09 12:01
67,261550,Mount & Blade II: Bannerlord,"14,238","26,169",2024-08-09 12:01
68,1238810,Battlefield™ V,"13,921","34,937",2024-08-09 12:01
69,1142710,Total War: WARHAMMER III,"13,700","23,608",2024-08-09 12:01
70,218620,PAYDAY 2,"13,440","22,643",2024-08-09 12:01
71,813780,Age of Empires II: Definitive Edition,"13,382","17,911",2024-08-09 12:01
72,250900,The Binding of Isaac: Rebirth,"13,256","19,855",2024-08-09 12:01
73,646570,Slay the Spire,"12,658","16,700",2024-08-09 12:01
74,548430,Deep Rock Galactic,"12,419","22,762",2024-08-09 12:01
75,2073850,THE FINALS,"12,329","15,027",2024-08-09 12:01
76,582660,Black Desert,"12,326","15,691",2024-08-09 12:01
77,232090,Killing Floor 2,"11,954","12,657",2024-08-09 12:01
78,1158310,Crusader Kings III,"11,851","19,844",2024-08-09 12:01
79,8930,Sid Meier's Civilization® V,"11,831","17,226",2024-08-09 12:01
80,240,Counter-Strike: Source,"11,444","15,413",2024-08-09 12:01
81,513710,SCUM,"11,122","19,397",2024-08-09 12:01
82,2709440,Delta Force Playtest,"11,056","20,524",2024-08-09 12:01
83,322170,Geometry Dash,"10,901","17,941",2024-08-09 12:01
84,1364780,Street Fighter™ 6,"10,887","25,919",2024-08-09 12:01
85,629520,Soundpad,"10,813","17,879",2024-08-09 12:01
86,1454400,Cookie Clicker,"10,686","12,610",2024-08-09 12:01
87,2399830,ARK: Survival Ascended,"10,545","13,640",2024-08-09 12:01
88,227300,Euro Truck Simulator 2,"10,373","38,677",2024-08-09 12:01
89,1248130,Farming Simulator 22,"10,136","37,232",2024-08-09 12:01
90,2349820,Hero's Land,"10,082","13,023",2024-08-09 12:01
91,386360,SMITE®,"10,056","11,473",2024-08-09 12:01
92,291550,Brawlhalla,"9,779","14,952",2024-08-09 12:01
93,427520,Factorio,"9,679","15,375",2024-08-09 12:01
94,2338770,NBA 2K24,"9,602","17,600",2024-08-09 12:01
95,281990,Stellaris,"9,594","12,768",2024-08-09 12:01
96,311210,Call of Duty®: Black Ops III,"9,554","10,591",2024-08-09 12:01
97,236850,Europa Universalis IV,"9,508","17,252",2024-08-09 12:01
98,284160,BeamNG.drive,"9,385","17,888",2024-08-09 12:01
99,594650,Hunt: Showdown,"9,082","20,149",2024-08-09 12:01
100,306130,The Elder Scrolls® Online,"8,989","14,029",2024-08-09 12:01
