Rank,GameID,GameName,CurrentPlayers,PeakPlayers,Cost,Datetime
60,377160,Fallout 4,"15,782","28,556",NT$ 599.00,2024-08-26 12:01
61,594650,Hunt: Showdown 1896,"15,594","38,585",NT$ 799.00,2024-08-26 12:01
62,252950,Rocket League®,"15,427","29,135",NT$ 799.00,2024-08-26 12:01
63,1142710,Total War: WARHAMMER III,"15,179","33,193","NT$ 1,790.00",2024-08-26 12:01
64,4000,Garry's Mod,"14,927","35,085",NT$ 278.00,2024-08-26 12:01
65,1158310,Crusader Kings III,"14,898","30,023","NT$ 1,268.00",2024-08-26 12:01
66,513710,SCUM,"14,117","28,831",NT$ 298.00,2024-08-26 12:01
67,892970,Valheim,"13,866","31,172",NT$ 318.00,2024-08-26 12:01
68,739630,Phasmophobia,"13,853","27,679",NT$ 248.00,2024-08-26 12:01
69,8930,Sid Meier's Civilization® V,"13,767","24,291",NT$ 223.00,2024-08-26 12:01
70,813780,Age of Empires II: Definitive Edition,"13,235","23,383",NT$ 679.00,2024-08-26 12:01
71,2016590,Dark and Darker,"13,074","19,653",Free To Play,2024-08-26 12:01
72,2709570,Supermarket Together,"12,877","32,825",Free To Play,2024-08-26 12:01
73,646570,Slay the Spire,"12,699","17,456",NT$ 169.00,2024-08-26 12:01
74,1454400,Cookie Clicker,"12,635","15,881",NT$ 102.00,2024-08-26 12:01
75,232090,Killing Floor 2,"12,012","12,677",NT$ 688.00,2024-08-26 12:01
76,960090,Bloons TD 6,"12,003","19,070",NT$ 248.00,2024-08-26 12:01
77,261550,Mount & Blade II: Bannerlord,"11,970","27,242","NT$ 1,399.00",2024-08-26 12:01
78,250900,The Binding of Isaac: Rebirth,"11,470","20,302",NT$ 268.00,2024-08-26 12:01
79,2073850,THE FINALS,"11,058","16,688",Free To Play,2024-08-26 12:01
80,2399830,ARK: Survival Ascended,"10,984","18,524","NT$ 1,382.00",2024-08-26 12:01
81,397540,Borderlands 3,"10,581","16,334",NT$ 773.00,2024-08-26 12:01
82,1446780,MONSTER HUNTER RISE,"10,571","22,479","NT$ 1,120.00",2024-08-26 12:01
83,1238810,Battlefield™ V,"10,513","28,740","NT$ 1,399.00",2024-08-26 12:01
84,582660,Black Desert,"10,315","15,264",NT$ 200.00,2024-08-26 12:01
85,629520,Soundpad,"10,304","19,966",NT$ 102.00,2024-08-26 12:01
86,275850,No Man's Sky,"10,124","19,928",NT$ 898.00,2024-08-26 12:01
87,322170,Geometry Dash,"9,973","21,015",NT$ 51.00,2024-08-26 12:01
88,1621690,Core Keeper,"9,955","18,554",NT$ 262.00,2024-08-26 12:01
89,281990,Stellaris,"9,914","16,403","NT$ 1,018.00",2024-08-26 12:01
90,1248130,Farming Simulator 22,"9,831","46,397",NT$ 650.00,2024-08-26 12:01
91,1973530,Limbus Company,"9,556","13,150",Free To Play,2024-08-26 12:01
92,1364780,Street Fighter™ 6,"9,411","22,795","NT$ 1,680.00",2024-08-26 12:01
93,632360,Risk of Rain 2,"9,364","11,795",NT$ 588.00,2024-08-26 12:01
94,427520,Factorio,"9,337","19,054",NT$ 600.00,2024-08-26 12:01
95,292030,The Witcher 3: Wild Hunt,"9,168","25,707",NT$ 868.00,2024-08-26 12:01
96,227300,Euro Truck Simulator 2,"9,112","41,985",NT$ 428.00,2024-08-26 12:01
97,386360,SMITE®,"9,017","12,074",Free To Play,2024-08-26 12:01
98,291550,Brawlhalla,"8,839","17,218",Free To Play,2024-08-26 12:01
99,306130,The Elder Scrolls® Online,"8,801","16,899",NT$ 599.00,2024-08-26 12:01
100,284160,BeamNG.drive,"8,601","20,863",NT$ 408.00,2024-08-26 12:01
