Rank,GameID,GameName,CurrentPlayers,PeakPlayers,Cost,Datetime
31,39210,FINAL FANTASY XIV Online(not available in your region),"28,414","35,161",Free To Play,2024-08-20 12:01
32,2252570,Football Manager 2024,"27,345","70,736",NT$ 519.00,2024-08-20 12:01
33,2195250,EA SPORTS FC™ 24,"26,979","62,718","NT$ 1,999.00",2024-08-20 12:01
34,2977660,Cats,"26,801","27,129",Free To Play,2024-08-20 12:01
35,582010,Monster Hunter: World,"24,969","62,781",NT$ 303.00,2024-08-20 12:01
36,550,Left 4 Dead 2,"24,396","28,680",NT$ 188.00,2024-08-20 12:01
37,1281930,tModLoader,"23,903","40,365",Free To Play,2024-08-20 12:01
38,1091500,Cyberpunk 2077,"23,893","40,991","NT$ 1,599.00",2024-08-20 12:01
39,394360,Hearts of Iron IV,"23,783","50,753","NT$ 1,268.00",2024-08-20 12:01
40,1222670,The Sims™ 4,"23,483","40,332",Free To Play,2024-08-20 12:01
41,304930,Unturned,"23,050","33,145",Free To Play,2024-08-20 12:01
42,553850,HELLDIVERS™ 2,"21,948","29,634","NT$ 1,190.00",2024-08-20 12:01
43,221100,DayZ,"21,809","49,623","NT$ 1,499.00",2024-08-20 12:01
44,1366800,Crosshair X,"21,805","34,433",NT$ 144.00,2024-08-20 12:01
45,105600,Terraria,"21,231","33,746",NT$ 188.00,2024-08-20 12:01
46,322330,Don't Starve Together,"20,943","46,065",NT$ 268.00,2024-08-20 12:01
47,108600,Project Zomboid,"20,131","27,148",NT$ 328.00,2024-08-20 12:01
48,489830,The Elder Scrolls V: Skyrim Special Edition,"19,733","28,683",NT$ 299.00,2024-08-20 12:01
49,594650,Hunt: Showdown 1896,"19,306","45,523",NT$ 639.00,2024-08-20 12:01
50,1623730,Palworld,"19,133","35,929",NT$ 488.00,2024-08-20 12:01
51,294100,RimWorld,"18,636","25,749",NT$ 529.00,2024-08-20 12:01
52,1174180,Red Dead Redemption 2,"18,024","35,108","NT$ 1,790.00",2024-08-20 12:01
53,1599340,Lost Ark(not available in your region),"17,964","25,005","NT$ 1,790.00",2024-08-20 12:01
54,346110,ARK: Survival Evolved,"17,859","36,123",NT$ 268.00,2024-08-20 12:01
55,1449850,Yu-Gi-Oh! Master Duel,"17,156","29,056",Free To Play,2024-08-20 12:01
56,377160,Fallout 4,"16,389","25,521",NT$ 239.00,2024-08-20 12:01
57,252950,Rocket League®,"15,998","27,388",NT$ 239.00,2024-08-20 12:01
58,2016590,Dark and Darker,"15,445","21,015",Free To Play,2024-08-20 12:01
59,2709570,Supermarket Together,"15,128","37,551",Free To Play,2024-08-20 12:01
60,4000,Garry's Mod,"14,765","30,986",NT$ 278.00,2024-08-20 12:01
61,218620,PAYDAY 2,"14,532","21,264",NT$ 188.00,2024-08-20 12:01
62,892970,Valheim,"13,687","25,810",NT$ 318.00,2024-08-20 12:01
63,2344520,Diablo® IV,"13,496","24,745","NT$ 1,575.00",2024-08-20 12:01
64,739630,Phasmophobia,"13,352","26,539",NT$ 248.00,2024-08-20 12:01
65,813780,Age of Empires II: Definitive Edition,"12,838","18,840",NT$ 679.00,2024-08-20 12:01
66,232090,Killing Floor 2,"12,708","12,966",NT$ 688.00,2024-08-20 12:01
67,261550,Mount & Blade II: Bannerlord,"12,668","26,088","NT$ 1,399.00",2024-08-20 12:01
68,1238810,Battlefield™ V,"12,500","38,940","NT$ 1,399.00",2024-08-20 12:01
69,1142710,Total War: WARHAMMER III,"12,217","23,557","NT$ 1,790.00",2024-08-20 12:01
70,1623660,MIR4,"12,159","17,216",Free To Play,2024-08-20 12:01
71,1454400,Cookie Clicker,"12,028","14,632",NT$ 102.00,2024-08-20 12:01
72,960090,Bloons TD 6,"11,981","16,731",NT$ 248.00,2024-08-20 12:01
73,8930,Sid Meier's Civilization® V,"11,884","18,282",NT$ 223.00,2024-08-20 12:01
74,250900,The Binding of Isaac: Rebirth,"11,774","20,403",NT$ 268.00,2024-08-20 12:01
75,646570,Slay the Spire,"11,493","17,588",NT$ 499.00,2024-08-20 12:01
76,275850,No Man's Sky,"11,210","18,153",NT$ 898.00,2024-08-20 12:01
77,1158310,Crusader Kings III,"11,193","20,647","NT$ 1,268.00",2024-08-20 12:01
78,1313140,Cult of the Lamb,"10,993","16,661",NT$ 488.00,2024-08-20 12:01
79,582660,Black Desert,"10,926","15,194",NT$ 200.00,2024-08-20 12:01
80,2073850,THE FINALS,"10,787","16,159",Free To Play,2024-08-20 12:01
81,2448970,Dungeonborne(not available in your region),"10,724","19,486",Free To Play,2024-08-20 12:01
82,1905180,OBS Studio,"10,596","17,547",Free To Play,2024-08-20 12:01
83,513710,SCUM,"10,582","19,845",NT$ 745.00,2024-08-20 12:01
84,306130,The Elder Scrolls® Online,"10,325","18,133",NT$ 179.00,2024-08-20 12:01
85,629520,Soundpad,"10,177","18,200",NT$ 102.00,2024-08-20 12:01
86,2889840,Spectre Divide Playtest,"10,057","15,312",NT$ 102.00,2024-08-20 12:01
87,322170,Geometry Dash,"9,948","17,285",NT$ 51.00,2024-08-20 12:01
88,1687950,Persona 5 Royal,"9,831","18,748","NT$ 1,790.00",2024-08-20 12:01
89,281990,Stellaris,"9,780","14,216","NT$ 1,018.00",2024-08-20 12:01
90,292030,The Witcher 3: Wild Hunt,"9,772","25,558",NT$ 868.00,2024-08-20 12:01
91,2162800,shapez 2,"9,640","15,998",NT$ 326.00,2024-08-20 12:01
92,1248130,Farming Simulator 22,"9,431","39,216",NT$ 650.00,2024-08-20 12:01
93,1364780,Street Fighter™ 6,"9,396","26,482","NT$ 1,680.00",2024-08-20 12:01
94,427520,Factorio,"9,263","16,045",NT$ 600.00,2024-08-20 12:01
95,227300,Euro Truck Simulator 2,"9,200","36,611",NT$ 428.00,2024-08-20 12:01
96,397540,Borderlands 3,"9,174","12,951",NT$ 178.00,2024-08-20 12:01
97,386360,SMITE®,"9,020","11,242",Free To Play,2024-08-20 12:01
98,236850,Europa Universalis IV,"8,880","18,221","NT$ 1,018.00",2024-08-20 12:01
99,714010,Aimlabs,"8,841","12,732",Free To Play,2024-08-20 12:01
100,291550,Brawlhalla,"8,733","14,212",Free To Play,2024-08-20 12:01
