Rank,GameID,GameName,CurrentPlayers,PeakPlayers,Cost,Datetime
45,1623730,Palworld,"22,334","38,421",NT$ 488.00,2024-08-16 12:01
46,108600,Project Zomboid,"21,157","27,374",NT$ 328.00,2024-08-16 12:01
47,1366800,Crosshair X,"20,984","32,018",NT$ 144.00,2024-08-16 12:01
48,221100,DayZ,"20,879","46,268","NT$ 1,499.00",2024-08-16 12:01
49,1174180,Red Dead Redemption 2,"20,319","35,213","NT$ 1,790.00",2024-08-16 12:01
50,489830,The Elder Scrolls V: Skyrim Special Edition,"19,651","26,964",NT$ 299.00,2024-08-16 12:01
51,294100,RimWorld,"19,347","25,785",NT$ 529.00,2024-08-16 12:01
52,1599340,Lost Ark(not available in your region),"19,200","26,101",NT$ 529.00,2024-08-16 12:01
53,346110,ARK: Survival Evolved,"19,095","35,400",NT$ 268.00,2024-08-16 12:01
54,2709570,Supermarket Together,"17,824","41,448",Free To Play,2024-08-16 12:01
55,252950,Rocket League®,"17,720","26,318",Free To Play,2024-08-16 12:01
56,377160,Fallout 4,"17,613","24,984",NT$ 239.00,2024-08-16 12:01
57,2016590,Dark and Darker,"17,156","22,766",Free To Play,2024-08-16 12:01
58,1623660,MIR4,"16,605","17,595",Free To Play,2024-08-16 12:01
59,3047030,Tapple - Idle Clicker,"16,305","37,291",Free To Play,2024-08-16 12:01
60,2344520,Diablo® IV,"15,932","26,577","NT$ 1,575.00",2024-08-16 12:01
61,739630,Phasmophobia,"15,772","27,592",NT$ 248.00,2024-08-16 12:01
62,4000,Garry's Mod,"15,443","30,908",NT$ 278.00,2024-08-16 12:01
63,218620,PAYDAY 2,"14,591","18,661",NT$ 188.00,2024-08-16 12:01
64,2448970,Dungeonborne(not available in your region),"14,249","21,814",NT$ 188.00,2024-08-16 12:01
65,1238810,Battlefield™ V,"14,244","38,454",NT$ 209.00,2024-08-16 12:01
66,892970,Valheim,"13,859","24,286",NT$ 318.00,2024-08-16 12:01
67,261550,Mount & Blade II: Bannerlord,"13,858","26,512","NT$ 1,399.00",2024-08-16 12:01
68,813780,Age of Empires II: Definitive Edition,"13,355","19,408",NT$ 679.00,2024-08-16 12:01
69,1142710,Total War: WARHAMMER III,"13,264","23,590","NT$ 1,790.00",2024-08-16 12:01
70,275850,No Man's Sky,"13,264","19,712",NT$ 898.00,2024-08-16 12:01
71,960090,Bloons TD 6,"13,140","16,952",NT$ 248.00,2024-08-16 12:01
72,250900,The Binding of Isaac: Rebirth,"13,062","20,381",NT$ 268.00,2024-08-16 12:01
73,1364780,Street Fighter™ 6,"12,891","26,512","NT$ 1,680.00",2024-08-16 12:01
74,1966720,Lethal Company,"12,784","13,535",NT$ 188.00,2024-08-16 12:01
75,646570,Slay the Spire,"12,566","16,700",NT$ 499.00,2024-08-16 12:01
76,1454400,Cookie Clicker,"12,143","14,161",NT$ 102.00,2024-08-16 12:01
77,232090,Killing Floor 2,"12,113","12,199",NT$ 688.00,2024-08-16 12:01
78,2073850,THE FINALS,"12,111","14,710",Free To Play,2024-08-16 12:01
79,8930,Sid Meier's Civilization® V,"11,961","17,442",NT$ 895.00,2024-08-16 12:01
80,1313140,Cult of the Lamb,"11,932","16,475",NT$ 244.00,2024-08-16 12:01
81,1158310,Crusader Kings III,"11,713","19,627","NT$ 1,268.00",2024-08-16 12:01
82,582660,Black Desert,"11,292","15,314",NT$ 200.00,2024-08-16 12:01
83,1973530,Limbus Company,"11,113","16,804",Free To Play,2024-08-16 12:01
84,548430,Deep Rock Galactic,"11,092","22,670",NT$ 438.00,2024-08-16 12:01
85,513710,SCUM,"10,975","19,981",NT$ 745.00,2024-08-16 12:01
86,2399830,ARK: Survival Ascended,"10,724","13,662","NT$ 1,382.00",2024-08-16 12:01
87,322170,Geometry Dash,"10,703","17,460",NT$ 102.00,2024-08-16 12:01
88,281990,Stellaris,"10,225","13,581","NT$ 1,018.00",2024-08-16 12:01
89,227300,Euro Truck Simulator 2,"10,169","36,784",NT$ 428.00,2024-08-16 12:01
90,311210,Call of Duty®: Black Ops III,"10,168","10,865","NT$ 1,998.00",2024-08-16 12:01
91,629520,Soundpad,"10,154","17,843",NT$ 102.00,2024-08-16 12:01
92,2338770,NBA 2K24,"9,810","18,150","NT$ 1,790.00",2024-08-16 12:01
93,292030,The Witcher 3: Wild Hunt,"9,800","23,508",NT$ 217.00,2024-08-16 12:01
94,1920960,VPet-Simulator,"9,654","12,909",Free To Play,2024-08-16 12:01
95,236850,Europa Universalis IV,"9,612","17,662","NT$ 1,018.00",2024-08-16 12:01
96,1687950,Persona 5 Royal,"9,594","15,061",NT$ 716.00,2024-08-16 12:01
97,386360,SMITE®,"9,564","10,952",Free To Play,2024-08-16 12:01
98,291550,Brawlhalla,"9,545","13,640",Free To Play,2024-08-16 12:01
99,427520,Factorio,"9,492","14,981",NT$ 600.00,2024-08-16 12:01
100,1248130,Farming Simulator 22,"9,447","35,590",NT$ 650.00,2024-08-16 12:01
