99,Dune: Imperium,1689500,0.91,15580,1133,2024-08-05 12:03
100,Dünnes Eis - Das Spiel zum Song,2961990,0.9098,560,75,2024-08-05 12:03
101,Cookard,2919650,0.9094,857,210,2024-08-05 12:03
102,Thank Goodness You're Here!,2366980,0.9094,4216,554,2024-08-05 12:03
103,ROBOBEAT,1456760,0.9092,8682,481,2024-08-05 12:03
104,HIDDEN CATS: The last of cats,2907010,0.9091,269,51,2024-08-05 12:03
105,Cryptmaster,1885110,0.9089,10672,406,2024-08-05 12:03
106,突然＊恋人,2510810,0.9089,2208,355,2024-08-05 12:03
107,The Great Rebellion,2732820,0.9084,2295,85,2024-08-05 12:03
108,My succubus Kukula,2848420,0.9081999999999999,418,105,2024-08-05 12:03
109,Black Gunner Wukong,2270750,0.9079999999999999,870,189,2024-08-05 12:03
110,KUNKUN Defender,2902540,0.9079,970,477,2024-08-05 12:03
111,Reus 2,1875060,0.9077,14486,1237,2024-08-05 12:03
112,Elder Legacy,2669860,0.9076000000000001,3185,286,2024-08-05 12:03
113,Ancient Warfare 3,758990,0.9074,5160,180,2024-08-05 12:03
114,Kitsune Tails,1325260,0.9074,2775,107,2024-08-05 12:03
115,Multi Turret Academy,1869270,0.9068,4017,170,2024-08-05 12:03
116,Tiny Terry's Turbo Trip,2238040,0.9064,2818,162,2024-08-05 12:03
117,Deep Rock Galactic - Order of the Deep Pack,2934390,0.9064,0,0,2024-08-05 12:03
118,Cats Hidden in China,2608040,0.9062,378,37,2024-08-05 12:03
119,Shipwrecked 64,2160220,0.9053,2835,207,2024-08-05 12:03
120,Turnip Boy Robs a Bank,2097230,0.905,6161,606,2024-08-05 12:03
121,POOLS,2663530,0.9046,10064,362,2024-08-05 12:03
122,Duelists of Eden,1664200,0.9041,4919,663,2024-08-05 12:03
123,Emberward,2459550,0.9035,6997,1367,2024-08-05 12:03
124,KinitoPET,2075070,0.9031,9543,655,2024-08-05 12:03
125,Ghost of Tsushima DIRECTOR'S CUT,2215430,0.9028,137906,77154,2024-08-05 12:03
126,热血大唐,2718730,0.9025,976,238,2024-08-05 12:03
127,Arzette: The Jewel of Faramore,1924780,0.9018,2337,166,2024-08-05 12:03
128,Supermarket Simulator: Prologue,2772560,0.9012,3699,3681,2024-08-05 12:03
129,Chill Pulse,2826180,0.9007999999999999,6016,2189,2024-08-05 12:03
130,Commando Collection,3059010,0.9007,1084,115,2024-08-05 12:03
131,Lorelei and the Laser Eyes,2008920,0.9006000000000001,5664,569,2024-08-05 12:03
132,SUMMERHOUSE,2533960,0.9002,15380,528,2024-08-05 12:03
133,Mimic Logic,2455920,0.9002,873,143,2024-08-05 12:03
134,Persona 3 Reload - Digital Soundtrack,2517310,0.0978,0,0,2024-08-05 12:03
135,Cities: Skylines II - Beach Properties,2427740,0.0959,0,0,2024-08-05 12:03
136,100 Dino Cats,2803000,0.8993000000000001,1429,2049,2024-08-05 12:03
137,Hotdog Runner,2779440,0.8981999999999999,448,49,2024-08-05 12:03
138,The Hungry Lamb: Traveling in the Late Ming Dynasty (Original Soundtrack),2949210,0.8979,0,0,2024-08-05 12:03
139,Withering Rooms,2006140,0.8976999999999999,6406,298,2024-08-05 12:03
140,Rental,2796550,0.8974,2217,130,2024-08-05 12:03
141,The Aquarium does not dance,2814910,0.8973,1269,739,2024-08-05 12:03
142,Staffer Reborn,2658920,0.8966,536,89,2024-08-05 12:03
143,Frostrain,2735630,0.8956999999999999,2117,838,2024-08-05 12:03
