UUID,Rank,GameID,Country,Date
64b595e6-8886-402a-bf71-d96896ccc7af,52,2142790,AT,2024-08-10
db9b3558-b14a-40a4-a336-086cc54fff66,53,1151340,AT,2024-08-10
d6d17ed5-a65f-463b-9be1-5e124852ba8d,54,2488620,AT,2024-08-10
91ed5a03-9db5-4706-b4c0-411ae1b868cd,55,440,AT,2024-08-10
b32e652e-41c7-41a0-adbc-aff00f544d9d,56,1962663,AT,2024-08-10
27ad41fc-5e86-4665-a6a1-d509cca6152b,57,28780,AT,2024-08-10
54125f9a-0934-4d8f-8f22-51c2191d8f1c,58,2396240,AT,2024-08-10
6ca6db68-113a-4c2c-bc2f-7249aa330443,59,227300,AT,2024-08-10
0d85acf1-42ce-4ed6-a04c-aa697d78115e,60,49520,AT,2024-08-10
5c3a8c55-62bd-4572-9a03-5d3c3c1424b0,61,1085660,AT,2024-08-10
19a465ce-26bc-468b-96d9-66395fb0a809,62,1286680,AT,2024-08-10
1abc6114-9967-46fe-b271-f9a2c95aa6cf,63,2215430,AT,2024-08-10
f2f41cb9-cbdf-430a-99a5-5dcf5764c4d1,64,359550,AT,2024-08-10
2113d6c2-77e0-4f72-bcb4-e41c27177fec,65,1158310,AT,2024-08-10
31c399f6-b5e9-4117-8487-7fc3f822833e,66,1643310,AT,2024-08-10
268832f0-e0a5-4956-a858-5f62a25fc52e,67,1203620,AT,2024-08-10
ea389944-49f0-43d5-a0eb-e63a7b23c936,68,2662170,AT,2024-08-10
e774653f-fde2-4b96-a441-a2f4af5e8a68,69,304390,AT,2024-08-10
543aeff0-4720-4dfc-b790-3d13b690ddfb,70,1144200,AT,2024-08-10
3429843c-9564-454f-ba39-8d499bab988b,71,40740,AT,2024-08-10
3cb22df5-ebc9-490f-b38c-f5b3219691b0,72,552990,AT,2024-08-10
4cf6cfcb-403f-4ccc-aa80-3d956e5e7cd6,73,380600,AT,2024-08-10
a98ab8a0-fd79-4be1-8a42-b7277925fdbe,74,1818450,AT,2024-08-10
21ef6027-12ae-47fd-9d1b-211580e81c6d,75,494840,AT,2024-08-10
bbc7dfb1-36d6-4bcb-a44a-88099309cd5d,76,1248130,AT,2024-08-10
e63ef355-b287-426d-8461-f4f12914b486,77,2280,AT,2024-08-10
83818fc9-2fd3-4d14-8b2f-fe44354cf15e,78,12661,AT,2024-08-10
fd86a04a-a5d9-4594-aa26-6e852a12e94b,79,2141910,AT,2024-08-10
5eb42071-50cd-406b-934b-21557a7d3f4a,80,1149460,AT,2024-08-10
fb13b01f-0e57-4b6c-96f6-b83269b51a43,81,546560,AT,2024-08-10
2f81ee8f-20b9-438e-8a83-65d7ef3e8fd6,82,739630,AT,2024-08-10
9fdec1e2-356b-4d1d-872b-9899b958c373,83,2244470,AT,2024-08-10
a7c9a971-09a3-440b-a629-06949c4d5d40,84,311210,AT,2024-08-10
559d0ad6-9d2c-4cd1-88fe-008256052d02,85,2400510,AT,2024-08-10
2cd5d1be-c30a-4be4-82ab-085cc5a16f06,86,1091500,AT,2024-08-10
92160d19-adac-4067-bebc-8955f0825c51,87,1551360,AT,2024-08-10
