UUID,Rank,GameID,Country,Date,SystemDate
a4f12734-5989-4e2d-ba3a-bb484a562e0a,48,2358720,FI,2024-08-12,2024-08-14 18:45
80384c57-c4f6-4af1-a47d-e2c5b085c339,49,1085660,FI,2024-08-12,2024-08-14 18:45
3b301036-3d5c-4df1-aec0-b2268fb764c5,53,311210,FI,2024-08-12,2024-08-14 18:45
480ff2a9-9f09-4985-84d9-8f49f54c1fde,54,2567870,FI,2024-08-12,2024-08-14 18:45
7a65f7bf-36ae-48df-9baf-d2265b6258b6,55,546560,FI,2024-08-12,2024-08-14 18:45
3617d763-99b6-4cbd-b9f2-e15f0017f946,56,49520,FI,2024-08-12,2024-08-14 18:45
2aad0461-e53b-4c02-92cb-52fdfc64a9f3,57,1659040,FI,2024-08-12,2024-08-14 18:45
5979b2df-fcb2-4a1f-91d4-fa3a2da3f991,58,1232580,FI,2024-08-12,2024-08-14 18:45
4fef8ad4-9960-4001-a6a2-abb993457e11,59,252490,FI,2024-08-12,2024-08-14 18:45
4c3782f0-e007-4598-a4c5-8a43a16be19f,61,202970,FI,2024-08-12,2024-08-14 18:45
10be3fe1-c0d1-4824-ba76-8de5a74ab723,62,2638370,FI,2024-08-12,2024-08-14 18:45
30d4353e-58d0-4bb5-8bf2-3c04615c9b35,63,1158310,FI,2024-08-12,2024-08-14 18:45
263d9d11-a0c6-42ad-8a6a-8b6616f3cffa,64,1517290,FI,2024-08-12,2024-08-14 18:45
b1a89bac-02b4-4134-9cec-108ac80aee02,65,1286680,FI,2024-08-12,2024-08-14 18:45
39fc060b-c819-4995-8438-9a3b767e3ab8,66,2300320,FI,2024-08-12,2024-08-14 18:45
93a264fb-1917-4532-940f-3d2cf0f70d78,67,1091500,FI,2024-08-12,2024-08-14 18:45
1f2969b5-b614-4beb-a724-9c78b66ccdd1,68,1849250,FI,2024-08-12,2024-08-14 18:45
a26c42c0-e5b7-4b35-88b6-a66d5bbc2833,69,394360,FI,2024-08-12,2024-08-14 18:45
773aba4e-9efd-41d2-a9c5-359d3b87304f,71,1332010,FI,2024-08-12,2024-08-14 18:45
5e71359f-24f0-41b5-ad3c-65d93800261d,72,2195250,FI,2024-08-12,2024-08-14 18:45
63cc3816-8dfc-481c-85b8-69d3380c1835,73,1289670,FI,2024-08-12,2024-08-14 18:45
e85f5173-223a-44d9-93cb-9b53cb608d64,74,413150,FI,2024-08-12,2024-08-14 18:45
e2d648f3-7742-4c29-b168-1e3e54b5eefe,76,494840,FI,2024-08-12,2024-08-14 18:45
0c66f025-073b-4706-b660-df94eb2d8ceb,77,518790,FI,2024-08-12,2024-08-14 18:45
dc245d56-324a-493e-aab5-c01c869e36af,78,1343400,FI,2024-08-12,2024-08-14 18:45
ff9d1444-fc58-4274-bbb3-aa1b13689f27,79,427410,FI,2024-08-12,2024-08-14 18:45
b388890c-30f2-4f3d-8986-aa0c5b6da010,80,516750,FI,2024-08-12,2024-08-14 18:45
bf3333cf-acd9-4d1a-956a-812a9037ec0a,81,552990,FI,2024-08-12,2024-08-14 18:45
d221443d-78b7-45b0-ba3b-3310dbe55cf8,83,686810,FI,2024-08-12,2024-08-14 18:45
bba9abd9-ac38-4246-a0bd-05145a72f724,84,2016590,FI,2024-08-12,2024-08-14 18:45
57ff91f4-0d57-48d0-8ca0-a48107ffa19c,85,228380,FI,2024-08-12,2024-08-14 18:45
0ce75695-a5c4-479e-991a-0d50da0e9a35,86,1172620,FI,2024-08-12,2024-08-14 18:45
85640b71-2f8b-42fb-9407-f91257094670,88,2280,FI,2024-08-12,2024-08-14 18:45
633d6e7f-b92c-4609-a296-8c1acdbf713e,89,739630,FI,2024-08-12,2024-08-14 18:45
8637687c-fb88-48b6-a143-d335823bbdd0,91,1407200,FI,2024-08-12,2024-08-14 18:45
536491a6-ce76-4bb3-8112-753f78485e56,92,1149460,FI,2024-08-12,2024-08-14 18:45
64fed596-ca3b-47a9-87bf-4b86bace001a,94,2379780,FI,2024-08-12,2024-08-14 18:45
e67a4cc7-ecbf-4572-be65-9a99cf7d55b0,95,2305840,FI,2024-08-12,2024-08-14 18:45
91fa22a1-57ea-4059-82ec-f64c57771306,96,594650,FI,2024-08-12,2024-08-14 18:45
5c6e1a80-3749-4fbd-a2b1-bce29bea44e9,97,284160,FI,2024-08-12,2024-08-14 18:45
0f64a801-28e8-42e6-84fd-67f67f7453c2,98,2396980,FI,2024-08-12,2024-08-14 18:45
082de265-24fb-4119-87d0-2b5094b7b05e,100,1203620,FI,2024-08-12,2024-08-14 18:45
055234d4-d1ed-4006-9b1a-443bda9870ec,2,2933620,FR,2024-08-12,2024-08-14 18:45
3bbf8670-1a28-4a8f-8468-8dfa0fe9c563,3,2074920,FR,2024-08-12,2024-08-14 18:45
d9b076c5-e089-48a3-addf-3ffcc291eeef,4,1086940,FR,2024-08-12,2024-08-14 18:45
70895ec4-7e07-4fd1-9fb5-a0a61c4746e0,5,397540,FR,2024-08-12,2024-08-14 18:45
96a4e463-f121-4bcb-9bf8-54ccf4d3c797,6,1245620,FR,2024-08-12,2024-08-14 18:45
349a547a-b934-44cb-bac6-f5b393ab673d,8,730,FR,2024-08-12,2024-08-14 18:45
738e6a1e-69e2-4817-980b-4880e292a510,9,1593500,FR,2024-08-12,2024-08-14 18:45
0e5b4df2-3d2d-41ed-a16d-8e103aa3725f,10,2183900,FR,2024-08-12,2024-08-14 18:45
