GameID,Cost,Date
2526380,Free To Play,2024-08-05
2544720,NT$ 187.00,2024-08-05
2567870,NT$ 102.00,2024-08-05
2586520,NT$ 595.00,2024-08-05
2591280,NT$ 820.00,2024-08-05
2593370,NT$ 188.00,2024-08-05
2594920,Free To Play,2024-08-05
2639100,NT$ 214.00,2024-08-05
2652500,NT$ 168.00,2024-08-05
2668080,Free To Play,2024-08-05
2670630,NT$ 238.00,2024-08-05
2674290,Free To Play,2024-08-05
2688650,NT$ 169.00,2024-08-05
2695940,NT$ 102.00,2024-08-05
2698780,NT$ 328.00,2024-08-05
2698940,"NT$ 1,990.00",2024-08-05
2739590,NT$ 328.00,2024-08-05
2739980,NT$ 91.00,2024-08-05
2739990,Free To Play,2024-08-05
2764370,Free To Play,2024-08-05
2778580,"NT$ 1,190.00",2024-08-05
2780980,NT$ 188.00,2024-08-05
2790710,NT$ 690.00,2024-08-05
2790720,"NT$ 1,008.00",2024-08-05
2808930,Free To Play,2024-08-05
2825190,NT$ 840.00,2024-08-05
2849080,NT$ 295.00,2024-08-05
2851150,NT$ 328.00,2024-08-05
2854170,NT$ 599.00,2024-08-05
2855560,Free To Play,2024-08-05
2857880,NT$ 255.00,2024-08-05
2878980,"NT$ 2,090.00",2024-08-05
2881650,NT$ 152.00,2024-08-05
2897760,NT$ 295.00,2024-08-05
2901520,NT$ 102.00,2024-08-05
2933620,"NT$ 2,219.00",2024-08-05
2961880,NT$ 152.00,2024-08-05
2963870,NT$ 502.00,2024-08-05
2972990,NT$ 172.00,2024-08-05
2991400,NT$ 214.00,2024-08-05
2995920,NT$ 142.00,2024-08-05
3129990,NT$ 106.00,2024-08-05
