GameID,MostPlayedRank,PeakPlayers,AllTimePeak,Date
219990,327,2757,61458,2024-08-10
447040,328,2936,18138,2024-08-10
2552430,329,2254,11152,2024-08-10
471710,330,2746,7154,2024-08-10
916440,331,3354,25302,2024-08-10
588650,332,2827,14910,2024-08-10
1569040,333,3682,88767,2024-08-10
203770,334,2943,141439,2024-08-10
1943950,335,4944,16529,2024-08-10
784150,336,5092,8264,2024-08-10
1971870,337,2282,38129,2024-08-10
204360,338,2256,16013,2024-08-10
568220,339,2421,7928,2024-08-10
1637320,340,2642,6883,2024-08-10
1948980,341,2675,28936,2024-08-10
782330,342,2593,104891,2024-08-10
2894940,343,2196,2709,2024-08-10
1068820,344,1873,2197,2024-08-10
2281730,345,3044,7141,2024-08-10
219740,346,2527,16796,2024-08-10
400040,347,2983,3533,2024-08-10
2280,348,2748,2748,2024-08-10
1888160,349,2116,156171,2024-08-10
2400510,350,2016,2016,2024-08-10
1787090,351,2557,3869,2024-08-10
508440,352,2385,13674,2024-08-10
1607250,353,1972,46591,2024-08-10
2003310,354,2453,5338,2024-08-10
1128810,355,2896,11716,2024-08-10
268910,356,2330,19026,2024-08-10
1229490,357,2296,28076,2024-08-10
1621690,358,2558,34508,2024-08-10
2961880,359,2299,2315,2024-08-10
495420,360,2384,22728,2024-08-10
363970,361,2357,65882,2024-08-10
1875830,362,1994,21749,2024-08-10
1588010,363,2196,3824,2024-08-10
880940,364,2837,20957,2024-08-10
1506830,365,2850,108295,2024-08-10
1259420,366,2949,27450,2024-08-10
2315690,367,1983,8789,2024-08-10
1013320,368,2291,3343,2024-08-10
1173510,369,1791,2007,2024-08-10
220200,370,2287,19149,2024-08-10
305620,371,2438,14433,2024-08-10
632470,372,2361,8081,2024-08-10
924970,373,3287,65987,2024-08-10
1325200,374,2536,41325,2024-08-10
2642680,375,1724,2559,2024-08-10
266840,376,2351,11074,2024-08-10
961200,377,2080,7339,2024-08-10
2591280,378,4561,12066,2024-08-10
1449690,379,2393,2451,2024-08-10
1313140,380,2176,61780,2024-08-10
787480,381,2617,4724,2024-08-10
1056640,382,1801,59558,2024-08-10
2140330,383,1824,9526,2024-08-10
287700,384,2045,91195,2024-08-10
1846380,385,2684,14063,2024-08-10
977950,386,2267,9330,2024-08-10
1928420,387,2354,41396,2024-08-10
10500,388,2886,27559,2024-08-10
1180320,389,1865,2950,2024-08-10
1066780,390,3470,24308,2024-08-10
1535560,391,1996,8951,2024-08-10
1549250,392,2168,46103,2024-08-10
620,393,2600,98460,2024-08-10
1167630,394,3148,8339,2024-08-10
635260,395,2317,5369,2024-08-10
552500,396,2676,104323,2024-08-10
992300,397,2621,7267,2024-08-10
1669000,398,2217,42877,2024-08-10
815370,399,3158,20003,2024-08-10
1817070,400,2051,66436,2024-08-10
2221490,401,2081,14858,2024-08-10
47890,402,1959,10505,2024-08-10
736190,403,2409,32593,2024-08-10
2167580,404,1983,38641,2024-08-10
1401590,405,2917,14314,2024-08-10
786520,406,2121,3747,2024-08-10
588430,407,2342,42656,2024-08-10
601150,408,2207,88894,2024-08-10
493340,409,2659,21971,2024-08-10
573090,410,2549,6820,2024-08-10
1217060,411,2085,35263,2024-08-10
412220,412,5465,5494,2024-08-10
544810,413,1926,2972,2024-08-10
976310,414,2244,35147,2024-08-10
2054970,415,2109,228585,2024-08-10
361420,416,1994,17986,2024-08-10
824270,417,2133,2846,2024-08-10
32470,418,2126,5716,2024-08-10
1774580,419,1979,67855,2024-08-10
883710,420,1842,74227,2024-08-10
1129580,421,3742,31057,2024-08-10
2078450,422,1981,2719,2024-08-10
767560,423,2046,2762,2024-08-10
881020,424,2135,114054,2024-08-10
637090,425,1763,35767,2024-08-10
1151640,426,2442,56557,2024-08-10
1546320,427,1562,3148,2024-08-10
2305840,428,2395,2603,2024-08-10
719890,429,1771,3523,2024-08-10
1404210,430,2309,19921,2024-08-10
2384620,431,1566,1751,2024-08-10
1222690,432,2073,4964,2024-08-10
2666510,433,1408,20876,2024-08-10
2739590,434,1647,4806,2024-08-10
1482520,435,3083,3473,2024-08-10
1876890,436,1953,22824,2024-08-10
1527950,437,2135,35879,2024-08-10
2963870,438,1779,2745,2024-08-10
325610,439,2338,26346,2024-08-10
