App_Id,Hours_Played(30days),Datetime
2016590,16779099,2024-08-11 12:03
4000,17308831,2024-08-11 12:03
252950,12461119,2024-08-11 12:03
892970,14808115,2024-08-11 12:03
218620,13242030,2024-08-11 12:03
1142710,15115580,2024-08-11 12:03
1966720,9529453,2024-08-11 12:03
739630,11975875,2024-08-11 12:03
480,20769871,2024-08-11 12:03
960090,11208347,2024-08-11 12:03
261550,13817043,2024-08-11 12:03
813780,11236791,2024-08-11 12:03
1623660,12125233,2024-08-11 12:03
1238810,12234901,2024-08-11 12:03
548430,9450175,2024-08-11 12:03
2448970,12797183,2024-08-11 12:03
8930,10479641,2024-08-11 12:03
2399830,9722290,2024-08-11 12:03
250900,11120523,2024-08-11 12:03
1158310,11193878,2024-08-11 12:03
1364780,11415782,2024-08-11 12:03
227300,21144003,2024-08-11 12:03
1973530,5773659,2024-08-11 12:03
2073850,8687763,2024-08-11 12:03
646570,9637907,2024-08-11 12:03
3047030,16588653,2024-08-11 12:03
322170,10133208,2024-08-11 12:03
582660,11464217,2024-08-11 12:03
1248130,16504233,2024-08-11 12:03
232090,8253371,2024-08-11 12:03
311210,4037352,2024-08-11 12:03
1454400,8615781,2024-08-11 12:03
281990,8478106,2024-08-11 12:03
594650,9684506,2024-08-11 12:03
427520,8645279,2024-08-11 12:03
629520,9662866,2024-08-11 12:03
513710,10303248,2024-08-11 12:03
291550,7935321,2024-08-11 12:03
107410,8081486,2024-08-11 12:03
236850,9966091,2024-08-11 12:03
386360,5260719,2024-08-11 12:03
2338770,9536571,2024-08-11 12:03
284160,9533148,2024-08-11 12:03
306130,8041288,2024-08-11 12:03
292030,12157987,2024-08-11 12:03
2709440,1517935,2024-08-11 12:03
1517290,7428321,2024-08-11 12:03
457140,7409945,2024-08-11 12:03
1172620,7404635,2024-08-11 12:03
1151340,7363112,2024-08-11 12:03
632360,5382950,2024-08-11 12:03
270880,5586445,2024-08-11 12:03
393380,8321756,2024-08-11 12:03
1238840,6728862,2024-08-11 12:03
