GameID,MostPlayedRank,PeakPlayers,AllTimePeak,Date
1328670,238,4341,59817,2024-08-22
1366540,239,4339,59815,2024-08-22
1593500,240,4333,73529,2024-08-22
977400,241,4325,7340,2024-08-22
304390,242,4295,225831,2024-08-22
494840,243,4199,7201,2024-08-22
1811260,244,4197,110878,2024-08-22
2881650,245,4176,204439,2024-08-22
703080,246,4153,38630,2024-08-22
961200,247,4144,7339,2024-08-22
2050650,248,4127,168191,2024-08-22
2780980,249,4120,4120,2024-08-22
518790,250,4101,23612,2024-08-22
2325290,251,4092,8806,2024-08-22
1260320,252,4066,104174,2024-08-22
3590,253,4055,16225,2024-08-22
993090,254,4039,4575,2024-08-22
1063730,255,4025,913634,2024-08-22
268500,256,3996,133022,2024-08-22
1973710,257,3985,20201,2024-08-22
1147690,258,3945,8032,2024-08-22
899770,259,3878,264708,2024-08-22
386180,260,3863,12170,2024-08-22
392160,261,3863,15198,2024-08-22
1465360,262,3838,11145,2024-08-22
1240440,263,3817,272586,2024-08-22
2420110,264,3812,40462,2024-08-22
1846380,265,3812,14063,2024-08-22
8500,266,3793,10627,2024-08-22
1371580,267,3792,47654,2024-08-22
264710,268,3766,51156,2024-08-22
1145360,269,3754,54240,2024-08-22
1818750,270,3724,153433,2024-08-22
1569040,271,3689,88767,2024-08-22
262060,272,3662,20064,2024-08-22
2582560,273,3638,4380,2024-08-22
1659040,274,3635,9043,2024-08-22
877280,275,3626,6966,2024-08-22
1030840,276,3623,36679,2024-08-22
627690,277,3563,18578,2024-08-22
1062090,278,3542,12354,2024-08-22
2321470,279,3530,56943,2024-08-22
1167630,280,3480,8339,2024-08-22
2369390,281,3457,20080,2024-08-22
958260,282,3419,11284,2024-08-22
1129580,283,3414,31057,2024-08-22
221380,284,3411,27927,2024-08-22
655500,285,3368,3842,2024-08-22
1066780,286,3361,24308,2024-08-22
1290000,287,3288,10512,2024-08-22
962130,288,3268,32012,2024-08-22
632810,289,3266,7956,2024-08-22
1184370,290,3256,46724,2024-08-22
1201240,291,3238,8166,2024-08-22
2471100,292,3221,4779,2024-08-22
1482520,293,3213,3473,2024-08-22
1009850,294,3184,5049,2024-08-22
2591280,295,3180,12066,2024-08-22
2445690,296,3170,20280,2024-08-22
2186680,297,3149,45405,2024-08-22
1677280,298,3133,36646,2024-08-22
1859910,299,3100,24278,2024-08-22
400750,300,3071,8831,2024-08-22
1149460,301,3025,52501,2024-08-22
400040,302,3012,3533,2024-08-22
1343400,303,3011,12569,2024-08-22
644930,304,2981,22395,2024-08-22
787860,305,2953,59466,2024-08-22
1128810,306,2932,11716,2024-08-22
601510,307,2927,21520,2024-08-22
815370,308,2915,20003,2024-08-22
872410,309,2887,16482,2024-08-22
585420,310,2878,4116,2024-08-22
2961880,311,2838,4004,2024-08-22
1506830,312,2835,108295,2024-08-22
10500,313,2822,27559,2024-08-22
916440,314,2820,25302,2024-08-22
34330,315,2812,54115,2024-08-22
1284190,316,2803,28416,2024-08-22
1169040,317,2784,4528,2024-08-22
594570,318,2780,84920,2024-08-22
1189490,319,2761,26379,2024-08-22
504230,320,2750,7782,2024-08-22
12210,321,2737,11696,2024-08-22
203770,322,2722,141439,2024-08-22
1282100,323,2681,110856,2024-08-22
602960,324,2669,19655,2024-08-22
323190,325,2609,29361,2024-08-22
1874880,326,2604,12342,2024-08-22
2488620,327,2603,8216,2024-08-22
356190,328,2597,68183,2024-08-22
1891700,329,2594,3387,2024-08-22
782330,330,2591,104891,2024-08-22
570940,331,2589,24501,2024-08-22
1259420,332,2585,27450,2024-08-22
2572370,333,2582,3235,2024-08-22
881100,334,2582,9256,2024-08-22
2003310,335,2557,5338,2024-08-22
2281730,336,2552,7141,2024-08-22
1336980,337,2550,11783,2024-08-22
2427700,338,2548,36557,2024-08-22
505460,339,2538,11791,2024-08-22
671860,340,2531,87323,2024-08-22
552500,341,2520,104323,2024-08-22
1222690,342,2511,4964,2024-08-22
2524890,343,2506,25014,2024-08-22
1384160,344,2490,31156,2024-08-22
1599600,345,2488,12460,2024-08-22
2951630,346,2483,7980,2024-08-22
635260,347,2483,5369,2024-08-22
2208920,348,2476,15679,2024-08-22
729040,349,2468,26446,2024-08-22
516750,350,2451,5509,2024-08-22
219990,351,2426,61458,2024-08-22
977950,352,2418,9330,2024-08-22
460930,353,2407,45704,2024-08-22
1119730,354,2404,6133,2024-08-22
208650,355,2391,27406,2024-08-22
1787090,356,2374,3869,2024-08-22
2551020,357,2367,13663,2024-08-22
573090,358,2363,6820,2024-08-22
477160,359,2362,127517,2024-08-22
1151640,360,2343,56557,2024-08-22
493340,361,2337,21971,2024-08-22
568220,362,2329,7928,2024-08-22
363970,363,2324,65882,2024-08-22
1013320,364,2294,3343,2024-08-22
905370,365,2283,15008,2024-08-22
632470,366,2283,8081,2024-08-22
1145350,367,2275,103567,2024-08-22
325610,368,2270,26346,2024-08-22
1432860,369,2254,12706,2024-08-22
1797880,370,2251,7787,2024-08-22
767560,371,2233,2762,2024-08-22
471710,372,2225,7154,2024-08-22
219740,373,2217,16796,2024-08-22
72850,374,2208,287411,2024-08-22
335300,375,2206,12106,2024-08-22
880940,376,2206,20957,2024-08-22
620,377,2202,98460,2024-08-22
1621690,378,2192,34508,2024-08-22
266840,379,2186,11074,2024-08-22
1232580,380,2184,3690,2024-08-22
2231380,381,2162,14382,2024-08-22
588430,382,2134,42656,2024-08-22
2894940,383,2129,2709,2024-08-22
305620,384,2128,14433,2024-08-22
220200,385,2126,19149,2024-08-22
1549250,386,2120,46103,2024-08-22
438040,387,2109,9495,2024-08-22
1527950,388,2094,35879,2024-08-22
1272080,389,2092,77938,2024-08-22
298110,390,2088,16963,2024-08-22
581320,391,2084,14606,2024-08-22
1229490,392,2067,28076,2024-08-22
924970,393,2061,65987,2024-08-22
1824220,394,2061,16959,2024-08-22
1263850,395,2061,93865,2024-08-22
1535560,396,2060,8951,2024-08-22
466560,397,2059,20235,2024-08-22
786520,398,2047,3747,2024-08-22
669330,399,2043,4932,2024-08-22
2157560,400,2037,7278,2024-08-22
287700,401,2020,91195,2024-08-22
1562430,402,2016,12686,2024-08-22
1607250,403,2012,46591,2024-08-22
2622000,404,2011,34387,2024-08-22
1113000,405,2004,29984,2024-08-22
1928420,406,2003,41396,2024-08-22
736190,407,2003,32593,2024-08-22
544810,408,1991,2972,2024-08-22
32470,409,1988,5716,2024-08-22
1100600,410,1975,189464,2024-08-22
297000,411,1967,4656,2024-08-22
1097150,412,1966,172213,2024-08-22
268910,413,1962,19026,2024-08-22
2484110,414,1961,4756,2024-08-22
1909840,415,1954,6340,2024-08-22
1029690,416,1941,14870,2024-08-22
508440,417,1925,13674,2024-08-22
824270,418,1924,2846,2024-08-22
613100,419,1922,15910,2024-08-22
1669000,420,1921,42877,2024-08-22
1335200,421,1918,2894,2024-08-22
1857090,422,1913,11866,2024-08-22
1588010,423,1905,3824,2024-08-22
1625450,424,1900,16715,2024-08-22
431240,425,1893,20750,2024-08-22
1190970,426,1883,18170,2024-08-22
976310,427,1883,35147,2024-08-22
212500,428,1878,3965,2024-08-22
8800,429,1871,2636,2024-08-22
787480,430,1857,4724,2024-08-22
495420,431,1846,22728,2024-08-22
1774580,432,1839,67855,2024-08-22
1304930,433,1833,36689,2024-08-22
1367080,434,1831,25422,2024-08-22
2167580,435,1829,38641,2024-08-22
1520470,436,1826,4593,2024-08-22
2054970,437,1825,228585,2024-08-22
1259970,438,1822,20674,2024-08-22
1817070,439,1812,66436,2024-08-22
1173510,440,1810,2042,2024-08-22
1180320,441,1809,2950,2024-08-22
382310,442,1805,6964,2024-08-22
699130,443,1799,6714,2024-08-22
47810,444,1798,8364,2024-08-22
1976440,445,1797,5199,2024-08-22
719890,446,1797,3523,2024-08-22
282070,447,1796,9503,2024-08-22
1274570,448,1787,7969,2024-08-22
1888160,449,1782,156171,2024-08-22
1256670,450,1781,8015,2024-08-22
1286680,451,1774,15021,2024-08-22
2059530,452,1767,3771,2024-08-22
365360,453,1761,8060,2024-08-22
2336220,454,1755,11413,2024-08-22
387990,455,1754,46643,2024-08-22
47890,456,1750,10505,2024-08-22
1418630,457,1738,107982,2024-08-22
601150,458,1731,88894,2024-08-22
1217060,459,1730,35263,2024-08-22
2552430,460,1726,11152,2024-08-22
1056640,461,1722,59558,2024-08-22
2666510,462,1721,20876,2024-08-22
1144400,463,1720,3013,2024-08-22
1325200,464,1706,41325,2024-08-22
1611600,465,1705,3948,2024-08-22
1041320,466,1700,6224,2024-08-22
1190000,467,1678,22561,2024-08-22
220240,468,1676,23065,2024-08-22
960170,469,1676,5413,2024-08-22
552100,470,1667,2501,2024-08-22
1898300,471,1657,10713,2024-08-22
1238860,472,1649,12425,2024-08-22
1222140,473,1648,8222,2024-08-22
