GameID,Rank,PeakPlayers,AllTimePeak,Date
17390,572,1275,5630,2024-08-08
488790,573,1248,21609,2024-08-08
433340,574,1028,7214,2024-08-08
1397920,575,991,5093,2024-08-08
1812450,576,1667,15263,2024-08-08
1172380,577,1273,46550,2024-08-08
2418520,578,1301,4291,2024-08-08
784080,579,1154,6476,2024-08-08
1690710,580,807,3100,2024-08-08
22330,581,1255,6390,2024-08-08
1399720,582,966,6962,2024-08-08
848450,583,1335,42115,2024-08-08
244450,584,1400,9750,2024-08-08
934700,585,1366,12094,2024-08-08
782330,586,1527,104891,2024-08-08
2334730,587,1148,15905,2024-08-08
678950,588,1091,44303,2024-08-08
2622000,589,1815,34387,2024-08-08
851850,590,1046,25852,2024-08-08
1976440,591,1078,5199,2024-08-08
391220,592,1246,44588,2024-08-08
1096900,593,814,1064,2024-08-08
516750,594,2212,5509,2024-08-08
1097430,595,777,4192,2024-08-08
1714040,596,819,10760,2024-08-08
1422440,597,1236,3152,2024-08-08
1180380,598,1754,2798,2024-08-08
1222700,599,1545,3055,2024-08-08
799960,600,995,1164,2024-08-08
629760,601,1440,60204,2024-08-08
1235140,602,1060,9535,2024-08-08
2212330,603,942,3405,2024-08-08
2229850,604,1128,6617,2024-08-08
1211020,605,1946,4665,2024-08-08
1295510,606,1195,4813,2024-08-08
744900,607,1013,10101,2024-08-08
666140,608,1019,13299,2024-08-08
1809540,609,1225,6568,2024-08-08
975370,610,1075,28340,2024-08-08
2458860,611,1092,5199,2024-08-08
552100,612,2049,2501,2024-08-08
228200,613,1326,5906,2024-08-08
387990,614,1868,46643,2024-08-08
1280930,615,1237,2432,2024-08-08
220,616,1350,16182,2024-08-08
3330,617,766,928,2024-08-08
223750,618,1100,3328,2024-08-08
2067920,619,861,5178,2024-08-08
880940,620,2235,20957,2024-08-08
2108330,621,1653,14512,2024-08-08
774801,622,956,8564,2024-08-08
1462040,623,915,13803,2024-08-08
1629520,624,878,2832,2024-08-08
438040,625,2067,9495,2024-08-08
2396910,626,601,2309,2024-08-08
1644960,627,1082,46661,2024-08-08
1150690,628,836,3166,2024-08-08
527230,629,1502,9993,2024-08-08
493520,630,1174,18813,2024-08-08
1584090,631,1090,3196,2024-08-08
2527870,632,1161,1273,2024-08-08
1237950,633,1363,10489,2024-08-08
992070,634,717,1544,2024-08-08
212910,635,918,9695,2024-08-08
1898300,636,1506,10713,2024-08-08
638970,637,904,8985,2024-08-08
704450,638,1102,2410,2024-08-08
21690,639,867,2585,2024-08-08
246420,640,973,2022,2024-08-08
221040,641,867,11879,2024-08-08
955900,642,891,18349,2024-08-08
463530,643,869,6367,2024-08-08
1029780,644,1075,14676,2024-08-08
70,645,1202,33471,2024-08-08
34030,646,1453,9935,2024-08-08
458710,647,942,1011,2024-08-08
335240,648,1690,5636,2024-08-08
1877960,649,783,3865,2024-08-08
2187220,650,986,4453,2024-08-08
200260,651,993,6871,2024-08-08
346900,652,847,22998,2024-08-08
753640,653,1002,7936,2024-08-08
896660,654,604,5068,2024-08-08
363150,655,976,11909,2024-08-08
