App_Id,Name,Operation_Date,Rating_Summary,Total_Number_of_Rating,Cost,Game_Tag,Category,Datetime
1465460,Infection Free Zone,"Apr 11, 2024",Mostly Positive,"| 8,969 User Reviews",NT$ 399.00,"['Base Building', 'Post-apocalyptic', 'City Builder', 'Strategy', 'Zombies', 'Simulation', 'Management', 'Outbreak Sim', 'RTS', 'Survival', 'Colony Sim', 'Sandbox', 'Immersive Sim', 'Time Management', 'Singleplayer', '3D', 'Minimalist', 'Atmospheric', 'Dark', 'Dystopian ']",sim_physics_sandbox,2024-08-05 12:10
526870,Satisfactory,"Jun 8, 2020",Overwhelmingly Positive,"| 141,985 User Reviews",NT$ 449.00,"['Base Building', 'Automation', 'Open World', 'Multiplayer', 'Crafting', 'Co-op', 'Resource Management', 'Building', 'Sandbox', 'Exploration', 'Adventure', 'Open World Survival Craft', 'Early Access', 'Simulation', 'Survival', 'First-Person', 'Strategy', 'Sci-fi', 'Singleplayer', 'Indie']",sim_physics_sandbox,2024-08-05 12:10
457140,Oxygen Not Included,"Jul 30, 2019",Overwhelmingly Positive,"| 110,771 User Reviews",NT$ 378.00,"['Colony Sim', 'Base Building', 'Survival', 'Resource Management', 'Building', 'Singleplayer', 'Management', '2D', 'Simulation', 'Sandbox', 'Strategy', 'Space', 'Indie', 'Sci-fi', 'Exploration', 'Difficult', 'Open World', 'Multiplayer', 'Adventure', 'Space Sim']",sim_physics_sandbox,2024-08-05 12:10
1177980,"Little Kitty, Big City","May 9, 2024",Overwhelmingly Positive,"| 4,881 User Reviews",NT$ 408.00,"['Cats', 'Cute', 'Wholesome', 'Exploration', 'Sandbox', 'Family Friendly', 'Cozy', 'Comedy', 'Funny', 'Simulation', 'Indie', '3D', 'Cartoony', 'Stylized', 'Colorful', 'Singleplayer', 'Open World', 'Adventure', 'Nonlinear', '3D Platformer']",sim_physics_sandbox,2024-08-05 12:10
284160,BeamNG.drive,"May 29, 2015",Overwhelmingly Positive,"| 241,007 User Reviews",NT$ 408.00,"['Simulation', 'Driving', 'Physics', 'Realistic', 'Destruction', 'Automobile Sim', 'Open World', 'Sandbox', 'Racing', 'Moddable', 'Multiplayer', 'Singleplayer', 'Early Access', 'First-Person', 'Third Person', 'Funny', 'Exploration', 'Action', 'Adventure', 'Flight']",sim_physics_sandbox,2024-08-05 12:10
2670630,Supermarket Simulator,"Feb 20, 2024",Very Positive,"| 43,362 User Reviews",NT$ 238.00,"['Simulation', 'Economy', 'Management', 'Singleplayer', 'Multiplayer', 'Immersive Sim', 'Trading', 'First-Person', 'Life Sim', 'Building', 'Capitalism', 'Sandbox', 'Resource Management', '3D', 'Realistic', 'Casual', 'Inventory Management', 'Indie', 'Early Access', 'Driving']",sim_physics_sandbox,2024-08-05 12:10
916440,Anno 1800,"Apr 16, 2019",Very Positive,"| 16,473 User Reviews","NT$ 1,699.00","['City Builder', 'Strategy', 'Simulation', 'Economy', 'Multiplayer', 'Resource Management', 'Sandbox', 'RTS', 'Exploration', 'Singleplayer', 'Management', 'Co-op', 'Historical', 'Political', 'Building', 'Choose Your Own Adventure', 'Politics', 'Choices Matter', 'Story Rich', 'Multiple Endings']",sim_physics_sandbox,2024-08-05 12:10
286160,Tabletop Simulator,"Jun 5, 2015",Overwhelmingly Positive,"| 39,657 User Reviews",NT$ 468.00,"['Tabletop', 'Board Game', 'Simulation', 'Multiplayer', 'Sandbox', 'Card Game', 'VR', 'Trading Card Game', 'Physics', 'Moddable', 'Casual', '3D', 'Strategy', 'Wargame', 'Online Co-Op', 'Co-op', 'RPG', 'Funny', 'First-Person', 'Indie']",sim_physics_sandbox,2024-08-05 12:10
1465360,SnowRunner,"May 17, 2021",Very Positive,"| 28,593 User Reviews",NT$ 424.00,"['Simulation', 'Automobile Sim', 'Adventure', 'Exploration', 'Driving', 'Multiplayer', 'Realistic', 'Sandbox', 'Open World', 'First-Person', 'Third Person', 'Immersive Sim', 'Atmospheric', 'Snow', 'Racing', 'Nature', 'Physics', 'ATV', 'Team-Based', 'PvE']",sim_physics_sandbox,2024-08-05 12:10
815370,Green Hell,"Sep 5, 2019",Very Positive,"| 52,014 User Reviews",NT$ 132.00,"['Open World Survival Craft', 'Survival', 'Multiplayer', 'Online Co-Op', 'Open World', 'Crafting', 'Action', 'Base Building', 'Singleplayer', 'Adventure', 'Co-op', 'Exploration', 'Sandbox', 'Simulation', 'First-Person', 'Survival Horror', 'Atmospheric', 'Realistic', 'Building', 'Action-Adventure']",sim_physics_sandbox,2024-08-05 12:10
1119730,"Ranch Simulator: Build, Hunt, Farm","Nov 3, 2023",Very Positive,"| 21,629 User Reviews",NT$ 113.00,"['Simulation', 'Multiplayer', 'Online Co-Op', 'Open World', 'Farming Sim', 'Farming', 'Job Simulator', 'Co-op', 'Realistic', 'Hunting', 'Sandbox', 'Singleplayer', 'Management', 'Economy', 'Destruction', 'Trading', 'Relaxing', 'Immersive Sim', 'Indie', 'First-Person']",sim_physics_sandbox,2024-08-05 12:10
1190970,House Flipper 2,"Dec 14, 2023",Mostly Positive,"| 6,894 User Reviews",NT$ 646.00,"['Simulation', 'Building', 'Design & Illustration', 'Casual', 'Relaxing', 'Sandbox', 'Destruction', 'Family Friendly', 'Immersive Sim', 'First-Person', '3D', 'Education', 'Indie', 'Management', 'Singleplayer', 'Base Building', 'Colorful', 'Replay Value', 'Economy', 'Realistic']",sim_physics_sandbox,2024-08-05 12:10
