App_Id,Name,Operation_Date,Rating_Summary,Total_Number_of_Rating,Cost,Game_Tag,Category,Datetime
1127700,Reverse Collapse: Code Name Bakery,"Mar 22, 2024",Mostly Positive,"| 3,748 User Reviews",NT$ 408.00,"['2D', 'Tactical RPG', 'Turn-Based Tactics', 'Lovecraftian', 'Singleplayer', 'Mystery', 'Top-Down', 'Multiple Endings', 'Strategy', 'Unforgiving', 'Sci-fi', 'Anime', 'Strategy RPG', 'Tactical', 'Villain Protagonist', 'Gore', 'Story Rich', 'Adventure', 'RPG', 'Alternate History']",horror,2024-08-05 12:10
2679460,Metaphor: ReFantazio,"Oct 11, 2024",,,"NT$ 1,890.00","['RPG', 'Anime', 'Action RPG', 'Action', 'Turn-Based Strategy', 'Time Management', 'Turn-Based Combat', 'Dark Fantasy', 'Adventure', 'JRPG', 'Singleplayer', 'Story Rich', 'Third Person', 'Party-Based RPG', 'Strategy RPG', 'Dungeon Crawler', 'Exploration', 'Colorful', 'Fantasy', 'Hand-drawn']",horror,2024-08-05 12:10
1295920,The Mortuary Assistant,"Aug 2, 2022",Very Positive,"| 5,349 User Reviews",NT$ 378.00,"['Horror', 'Supernatural', 'Demons', 'Mystery', 'Atmospheric', 'Surreal', 'Simulation', 'Adventure', 'First-Person', 'Singleplayer', 'Indie', 'Dark', 'Exploration', '3D', 'Realistic', 'Multiplayer', 'Thriller', 'Hidden Object', 'Female Protagonist', 'Medical Sim']",horror,2024-08-05 12:10
1949190,Necrosmith,"Jul 13, 2022",Very Positive,"| 4,486 User Reviews",NT$ 29.00,"['Zombies', 'Action Roguelike', 'Tower Defense', 'Bullet Hell', 'Roguelite', 'Strategy', 'Top-Down', 'Roguelike', '2D', 'Pixel Graphics', 'Simulation', 'Dark Fantasy', 'Vampire', 'Magic', 'Old School', 'Combat', 'Werewolves', 'Singleplayer', 'Exploration', 'Supernatural']",horror,2024-08-05 12:10
207610,The Walking Dead,"Apr 24, 2012",Overwhelmingly Positive,"| 42,474 User Reviews",NT$ 26.00,"['Zombies', 'Story Rich', 'Adventure', 'Point & Click', 'Episodic', 'Singleplayer', 'Choices Matter', 'Drama', 'Horror', 'Emotional', 'Mature', 'Atmospheric', 'Choose Your Own Adventure', 'Post-apocalyptic', 'Comic Book', 'Survival', 'Quick-Time Events', 'Gore', 'Action', 'Third Person']",horror,2024-08-05 12:10
555220,Detention,"Jan 12, 2017",Overwhelmingly Positive,"| 9,588 User Reviews",NT$ 299.00,"['Horror', 'Indie', 'Psychological Horror', 'Atmospheric', 'Puzzle', 'Story Rich', 'Adventure', 'Great Soundtrack', 'Drama', 'Dark', 'Point & Click', 'Female Protagonist', 'Thriller', 'Surreal', 'Retro', 'Visual Novel', 'Exploration', 'Gore', 'Survival Horror', 'Violent']",horror,2024-08-05 12:10
580100,Darkest Dungeon®: The Crimson Court,"Jun 19, 2017",Mixed,"| 1,886 User Reviews",NT$ 56.00,"['Strategy', 'RPG', 'Indie', 'Lovecraftian', 'Turn-Based Combat', 'Dungeon Crawler', 'Singleplayer', 'Dark Humor', 'Difficult', 'Casual', 'Drama', 'Linear', 'Illuminati', 'Dark Comedy', 'Dark Fantasy', 'Roguelike', 'Investigation', 'Walking Simulator', 'Conspiracy', 'Mod']",horror,2024-08-05 12:10
2351560,Apocalypse Party,"Dec 1, 2023",Mixed,"| 3,620 User Reviews",NT$ 188.00,"['Casual', 'Singleplayer', 'Action Roguelike', 'Online Co-Op', 'Top-Down Shooter', ""Shoot 'Em Up"", 'Roguelite', 'Bullet Hell', 'Roguelike', 'Top-Down', 'Cartoony', 'Zombies', '3D', 'Strategy', 'Vampire', 'Co-op', 'Multiplayer', 'Funny', 'Dark Humor', 'Action']",horror,2024-08-05 12:10
2384074,Remnant II® - The Forgotten Kingdom,"Apr 23, 2024",Mixed,| 502 User Reviews,NT$ 176.00,"['Action', 'Adventure', 'Souls-like', 'RPG', 'Co-op', 'Third-Person Shooter', 'Shooter', 'Dark', 'Action-Adventure', 'Post-apocalyptic', 'Multiplayer', 'Combat', 'Third Person', 'Online Co-Op', 'Horror', 'Atmospheric', 'PvE', 'Controller', 'Singleplayer', 'Gore']",horror,2024-08-05 12:10
4500,S.T.A.L.K.E.R.: Shadow of Chernobyl,"Mar 20, 2007",Very Positive,"| 32,570 User Reviews",NT$ 468.00,"['Atmospheric', 'Post-apocalyptic', 'Open World', 'FPS', 'Survival', 'Action', 'RPG', 'Shooter', 'Survival Horror', 'Horror', 'First-Person', 'Singleplayer', 'Classic', 'Based On A Novel', 'Moddable', 'Adventure', 'Immersive', 'Sci-fi', 'Inventory Management', 'Difficult']",horror,2024-08-05 12:10
2976400,Fork Road,"Jun 11, 2024",Very Positive,| 272 User Reviews,NT$ 82.00,"['Indie', 'Horror', 'Jump Scare', 'Walking Simulator', 'Singleplayer', 'First-Person', 'Survival Horror', 'Zombies', 'Puzzle', 'Adventure', 'Psychological', 'Atmospheric', 'Exploration', 'Immersive Sim', '3D', 'Linear', 'Casual', 'Simulation']",horror,2024-08-05 12:10
1746860,The Elder Scrolls V: Skyrim Anniversary Upgrade,"Nov 11, 2021",Mixed,"| 5,831 User Reviews",NT$ 599.00,"['RPG', 'Dystopian ', 'Open World', 'Singleplayer', 'Fantasy', 'Violent', 'Adventure', 'Illuminati', 'Great Soundtrack', 'Comedy', 'Gore', 'Nudity', 'First-Person', 'Story Rich', 'Horror', 'Atmospheric', 'Character Customization', 'Sexual Content', 'Walking Simulator', 'Third Person']",horror,2024-08-05 12:10
866800,The Walking Dead: The Final Season,"Aug 14, 2018",Very Positive,"| 13,924 User Reviews",NT$ 65.00,"['Story Rich', 'Choices Matter', 'Zombies', 'Adventure', 'Choose Your Own Adventure', 'Singleplayer', 'Female Protagonist', 'Post-apocalyptic', 'Survival', 'Atmospheric', 'Horror', 'Violent', 'Action', 'Drama', 'Gore', 'Episodic', 'Comic Book', 'Point & Click', 'Mature', 'LGBTQ+']",horror,2024-08-05 12:10
